esv_TAM,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PRES..,PRES..MOD,PAST..SUBJ,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,PRES.PERF_PROG.IND,FUT.PERF.IND,FUT..MOD
PAST..IND,0.76,-0.32,-0.31,-0.06,-0.04,-0.0,-0.01,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.PERF.IND,-0.38,0.68,-0.17,-0.11,0.0,-0.01,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
PRES..IND,-0.47,-0.22,0.8,-0.12,0.02,-0.01,-0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PERF.IND,-0.28,-0.23,-0.23,0.8,-0.03,-0.01,-0.01,-0.0,-0.01,0.0,-0.0,0.0,-0.0,-0.0,-0.0
PRES..MOD,-0.34,-0.2,-0.16,-0.08,0.34,0.0,0.43,0.01,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
PAST..SUBJ,-0.2,-0.18,-0.21,-0.09,-0.02,-0.0,0.01,0.67,-0.01,-0.0,0.03,-0.0,-0.0,-0.0,-0.0
FUT..IND,-0.39,-0.23,-0.13,-0.09,0.8,0.02,0.0,-0.01,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,0.02
PRES..,-0.07,-0.14,-0.17,-0.09,-0.03,0.48,0.01,-0.01,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PROG.IND,-0.15,-0.23,-0.21,-0.01,-0.03,0.07,-0.01,-0.01,-0.01,0.54,-0.0,0.04,-0.0,-0.0,-0.0
PRES.PROG.IND,-0.4,-0.23,-0.16,-0.09,0.02,-0.01,-0.01,-0.01,0.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
..,-0.25,-0.15,-0.06,-0.09,-0.03,0.14,-0.01,0.07,-0.01,-0.0,0.38,-0.0,-0.0,-0.0,-0.0
FUT.PERF.IND,-0.4,-0.23,-0.21,-0.09,0.47,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.5,-0.0
PRES.PERF_PROG.IND,-0.4,0.11,-0.21,-0.09,-0.03,-0.01,-0.01,-0.01,0.33,-0.0,-0.0,-0.0,0.33,-0.0,-0.0
past.PERF_PROG.IND,-0.4,-0.23,-0.21,-0.09,-0.03,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,1.0,-0.0,-0.0,-0.0
