niv_TAM,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,PRES..MOD,PAST..SUBJ,FUT..IND,PRES..,PAST.PROG.IND,PRES.PROG.IND,..,FUT.PERF.IND,PRES.PERF_PROG.IND,past.PERF_PROG.IND
PAST..IND,0.76,-0.32,-0.32,-0.09,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.PERF.IND,-0.44,0.78,-0.2,-0.1,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
PRES..IND,-0.45,-0.2,0.78,-0.1,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PERF.IND,-0.17,-0.26,-0.22,0.7,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT..IND,-0.39,0.01,0.13,-0.08,0.13,-0.0,0.21,-0.01,-0.0,0.0,-0.0,0.01,-0.0,-0.0
PRES..,-0.01,-0.11,-0.11,-0.06,0.0,-0.0,0.02,0.24,0.01,-0.0,0.01,-0.0,-0.0,-0.0
PRES..MOD,-0.24,-0.19,-0.05,-0.07,0.53,0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..SUBJ,-0.34,-0.28,-0.19,-0.05,0.02,0.85,-0.01,-0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0
PRES.PROG.IND,-0.34,0.09,0.07,-0.08,-0.01,-0.01,-0.01,0.01,-0.0,0.26,-0.0,-0.0,0.01,-0.0
PAST.PROG.IND,0.11,-0.19,-0.18,0.01,-0.01,-0.01,-0.01,0.02,0.28,-0.0,-0.0,-0.0,-0.0,-0.0
..,-0.04,-0.1,-0.05,-0.01,0.03,0.06,0.01,-0.01,-0.0,-0.0,0.11,-0.0,-0.0,-0.0
past.PERF_PROG.IND,-0.28,-0.27,-0.2,0.42,-0.01,-0.01,-0.01,-0.01,0.12,-0.0,-0.0,-0.0,-0.0,0.25
PRES.PERF_PROG.IND,-0.41,0.53,-0.2,-0.08,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.2,-0.0
FUT.PERF.IND,-0.41,0.06,-0.2,-0.08,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.67,-0.0,-0.0
FUT..MOD,-0.41,0.06,-0.2,-0.08,-0.01,-0.01,0.66,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
