prec_part,sum
Ø,4046
_W_,3633
_KJ_,670
_>CR_,667
_B_,414
_>M_,258
_W_B_,257
_L_,180
_H=_,178
_MN_,153
_W_>T_,134
_W_MN_,124
_W_L_,119
_LM<N_,116
_PN_,116
_MH_,113
_W_>M_,101
_W_<L_,99
_K_,80
_<L_,76
_MJ_,76
_KN_,73
_LMH_,67
_>T_,61
_K_>CR_,60
_W_>L_,58
_W_KJ_,56
_W_W_,56
_>Z_,54
_>L_,51
_KH_,51
_<D_,44
_B_HW>_,41
_KJ_B_,41
_GM_,37
_>WLJ_,37
_<L_KN_,36
_>T_>CR_,36
_W_K_,33
_<TH_,33
_MWT[_,32
_W_MJ_,28
_KJ_L_,27
_CM_,26
_C_,26
_LKN_,26
_W_CM_,25
_W_GM_,25
_W_>XR/_,24
_<D_>CR_,24
_>P_,24
_HNH_,23
_>K_,22
_W_MH_,21
_N>_,18
_ZH_,18
_<WD/_,17
_>JK_,16
_<D_MTJ_,15
_W_LMH_,15
_HN_,14
_W_>JK_,14
_W_>CR_,14
_KKH_,13
_W_KN_,13
_>XR/_,13
_W_KH_,13
_W_>XR/_KN_,13
_TXT/_,13
_<M_,12
_KJ_MN_,12
_KJ_MWT[_,12
_LM<N_>CR_,12
_>W_,11
_>JKH_,11
_RQ_,11
_KJ_W_,11
_MN_CM_,10
_H=_L_,10
_MN_L_,10
_B_MH_,10
_<L_W_<L_,10
_B_B_,10
_W_>T==_,10
_MTJ_,10
_W_<M_,10
_>K_B_,9
_KJ_<TH_,9
_XJH[_,9
_B_W_B_,9
_W_W_W_,9
_<D_>N_,9
_KJ_>M_,9
_>M_B_,9
_B_Z>T_,8
_W_TXT/_,8
_W_ZH_,8
_W_MN_>JN_,7
_>M_CM<[_,7
_VRM/_,7
_W_>T_W_>T_,7
_>M_L_,7
_KJ_>L_,7
_W_LM<N_,7
_MN_>CR_,7
_KJ_MJ_,7
_W_<TH_,7
_W_Z>T_,6
_GM_B_,6
_W_NQH[_,6
_KJ_KN_,6
_RQ_B_,6
_B_HJ>_,6
_GM_KJ_,6
_BJN/_,6
_L_W_L_,6
_KJ_>Z_,6
_W_<D_,6
_>M_<L_,6
_K_KN_,5
_KJ_<L_,5
_KJ_>T_,5
_KJ_HNH_,5
_KMW_,5
_KJ_K_,5
_K_K_,5
_W_B_MH_,5
_W_PN_,5
_W_B_W_B_,5
_W_MWT[_,5
_JD<[_,5
_HNH_K_,5
_H=_MN_,5
_>M_CWB[_,5
_H=_<L_>LH_,5
_W_>M_B_,5
_MN_>JN_,5
_Z>T_,5
_MN_<D_,5
_>N_,5
_>W_KJ_,5
_B_B_L_,5
_B_W_,5
_GM_W_,5
_>T==_,4
_GM_L_,4
_CWB[_,4
_KJ_<FH[_,4
_GM_>T_,4
_JXDW_,4
_MXR/_,4
_MN_W_,4
_NTN[_,4
_JXD/_,4
_<D_C_,4
_MDW<_,4
_>T_MJ_,4
_CLM[_,4
_W_>M_KH_,4
_RQ_>M_,4
_B_L_,4
_>XR/_KN_,4
_K_B_,4
_>CR_B_,4
_L_<L_,4
_B_>CR_,4
_W_HNH_,4
_LW_,4
_W_>T_>CR_,4
_W_MN_CM_,4
_<L_MJ_,4
_<L_W_,4
_W_VRM/_,4
_H=_>P_,4
_W_W_B_,3
_H=_B_,3
_W_>Z_,3
_JWMM_,3
_W_>N_,3
_KJ_>T==_,3
_RQ_W_,3
_<L_Z>T_,3
_KJ_>BD[_,3
_HW>_,3
_H=_JD<[_,3
_W_TMJD/_,3
_JXD/_<L_,3
_KJ_>M_B_,3
_HLK[_,3
_<L_MH_,3
_<L_>CR_,3
_W_>T_Z>T_,3
_H=_K_,3
_KJ_>JK_,3
_W_W_>T==_,3
_>K_>L_,3
_W_>M_G>L[_,3
_HN_B_,3
_W_B_ZH_,3
_W_>M_PFH[_,3
_KJ_CM_,3
_KJ_B_W_B_,3
_L_B_,3
_KJ_<WD/_,3
_W_W_W_W_,3
_K_<L_,3
_W_>L_MJ_,3
_W_<WD/_,3
_W_>LH_,3
_W_MDW<_,3
_>M_KH_,3
_KJ_MXR/_,3
_BW>[_,3
_MN_W_MN_,3
_>M_MN_,3
_W_L_W_L_,3
_W_>M_>T_,3
_MN_>T==_,3
_ZW_,3
_>P_KJ_,3
_LMH_ZH_,3
_>SP[_,3
_>K_>T_,3
_>K_>T_ZH_,3
_L_MJ_,3
_KJ_GM_,3
_K_MH_,3
_L_L_,3
_>T_W_>T_,3
_>LH_,3
_L_ZH_,3
_RQ_>T_,3
_W_GM_>T_,3
_W_>T_ZH_,2
_PT</_,2
_<L_B_,2
_W_>T_MJ_,2
_W_MXR/_,2
_W_>T_W_>T_W_>T_W_>T_,2
_QWM[_,2
_<L_KN_L_K_,2
_RBH[_,2
_RG</_,2
_>L_>CR_,2
_>K_W_,2
_>M_>L_,2
_KJ_>M_>L_,2
_PQD[_,2
_HNH_W_,2
_L_L_W_L_,2
_>M_KN_,2
_B_HM_,2
_KJ_RBH[_,2
_B_B_L_B_,2
_W_MN_>T==_,2
_B_>LH_,2
_BQR=/_,2
_H=_>T_,2
_BKH[_,2
_W_B_W_,2
_W_>T_B_,2
_>M_>T_,2
_W_>M_MWR[_,2
_W_>T_>LH_,2
