eng_TAMsimp,p3,p2,p1
PRES,0.19,-0.08,-0.11
FUT,-0.19,-0.14,0.33
FUT ~ MOD shall,0.22,-0.07,-0.16
IMPV,-0.56,0.75,-0.19
MOD let,0.03,-0.21,0.18
IMPV ~ MOD shall,-0.54,0.73,-0.19
PAST,0.14,-0.14,-0.01
FUT ~ PRES,0.06,-0.05,-0.01
MOD may,0.08,-0.07,-0.01
MOD must ~ MOD shall,0.05,0.12,-0.18
MOD is to ~ MOD shall,0.1,0.09,-0.19
MOD can,0.03,-0.06,0.03
MOD shall,-0.04,-0.03,0.07
FUT ~ MOD may,0.02,-0.1,0.08
MOD shall ~ PRES,0.09,-0.04,-0.04
IMPV ~ MOD let,0.24,-0.12,-0.12
MOD would,-0.04,-0.07,0.11
MOD let ~ MOD may,0.35,-0.21,-0.13
PAST ~ PRES,0.03,-0.03,-0.0
PRES ~ PRES PART,0.21,-0.07,-0.15
PRES ~ PRES PERF,-0.02,0.11,-0.1
MOD should,-0.07,-0.14,0.21
TO INF,0.0,0.05,-0.05
FUT ~ MOD lest,0.03,0.02,-0.05
MOD can ~ PRES,0.03,0.02,-0.05
MOD can ~ MOD may,-0.23,-0.1,0.34
MOD may ~ PRES,0.19,-0.09,-0.1
FUT ~ MOD can,0.09,-0.07,-0.02
PRES PERF,-0.04,0.01,0.03
IMPV ~ PRES,-0.15,0.32,-0.17
MOD may ~ MOD shall,0.13,0.04,-0.17
PRES PART,0.11,0.02,-0.13
MOD can ~ MOD shall,-0.23,-0.09,0.32
FUT ~ MOD would,-0.25,0.04,0.21
MOD may ~ TO INF,-0.14,-0.13,0.27
MOD should ~ PRES,-0.13,0.16,-0.03
PRES ~ TO INF,0.18,-0.02,-0.16
MOD could,0.14,-0.22,0.08
MOD must,-0.22,0.08,0.14
MOD shall ~ TO INF,-0.12,0.15,-0.03
PAST ~ PRES PERF,-0.18,0.1,0.08
IMPV ~ MOD may,-0.01,0.16,-0.16
FUT ~ MOD let,-0.21,-0.22,0.43
FUT ~ TO INF,-0.05,-0.09,0.14
MOD shall ~ MOD should,-0.21,-0.16,0.36
MOD let ~ PRES,0.06,-0.12,0.06
MOD would ~ PAST,0.3,-0.22,-0.08
FUT ~ IMPV,-0.3,0.45,-0.14
MOD would ~ PRES,-0.22,0.24,-0.02
MOD let ~ TO INF,0.13,-0.22,0.09
PAST ~ PRES PART,0.26,-0.17,-0.09
MOD shall ~ PRES PART,0.31,-0.12,-0.19
MOD must ~ PRES,-0.23,0.2,0.02
MOD should ~ TO INF,-0.12,0.04,0.08
FUT ~ PRES PART,-0.02,-0.06,0.08
FUT ~ PAST,-0.07,-0.1,0.17
MOD let ~ MOD shall,0.41,-0.22,-0.19
MOD lest ~ MOD may,0.09,-0.09,0.0
PRES ~ PRES PROG,0.03,0.09,-0.12
MOD let ~ MOD must,0.05,-0.15,0.1
IMPV ~ MOD must,-0.45,0.64,-0.19
MOD lest ~ PRES,-0.24,0.35,-0.11
MOD should ~ MOD would,0.26,-0.15,-0.11
MOD shall ~ PAST,0.19,-0.08,-0.11
MOD might,-0.06,-0.22,0.28
PAST ~ TO INF,0.17,-0.14,-0.03
HAB used to ~ PAST,0.32,-0.22,-0.1
MOD let ~ PAST,-0.01,-0.14,0.15
MOD may ~ MOD must,-0.01,0.2,-0.19
FUT ~ MOD should,0.07,0.11,-0.19
IMPV ~ MOD can,0.24,-0.05,-0.19
MOD let ~ MOD should,0.04,-0.22,0.18
IMPV ~ MOD should,-0.41,0.6,-0.19
PAST ~ PAST PERF,0.11,-0.22,0.11
IMPV ~ PRES PART,-0.5,0.58,-0.09
MOD is to,0.31,-0.12,-0.19
MOD is to ~ MOD let,0.41,-0.22,-0.19
MOD was to ~ PAST,0.41,-0.22,-0.19
IMPV ~ TO INF,-0.6,0.78,-0.19
MOD can ~ MOD could,0.03,-0.09,0.06
MOD can ~ MOD should,0.03,0.03,-0.06
MOD should ~ MOD was to,0.12,-0.08,-0.04
MOD can ~ MOD let,-0.17,-0.22,0.39
IMPV ~ PAST,-0.31,0.5,-0.19
MOD can ~ TO INF,0.12,-0.22,0.1
MOD may ~ PRES PART,0.12,-0.22,0.1
MOD might ~ MOD would,0.12,-0.08,-0.04
MOD lest,0.12,0.07,-0.19
MOD could ~ MOD might,-0.02,-0.22,0.24
PRES PART ~ TO INF,0.26,-0.08,-0.19
FUT ~ MOD must,-0.02,-0.22,0.24
MOD could ~ MOD would,-0.02,-0.22,0.24
PAST PERF,0.26,-0.22,-0.04
MOD would ~ TO INF,-0.09,-0.05,0.15
MOD lest ~ MOD might,-0.09,-0.22,0.31
MOD can ~ PRES PART,-0.09,0.11,-0.02
MOD could ~ PAST,0.24,-0.22,-0.02
MOD is to ~ MOD may,0.24,-0.05,-0.19
FUT ~ PRES PERF,-0.09,-0.22,0.31
MOD shall ~ MOD would,0.07,-0.22,0.15
MOD let ~ PRES PART,0.41,-0.22,-0.19
FUT going-to ~ MOD shall,-0.43,0.61,-0.19
