,sum
PRES,1549
PAST,596
PRES PART,324
PRES ~ PRES PART,183
FUT,132
PAST PROG,125
PRES PROG,112
PAST ~ PAST PROG,103
PAST ~ PRES PART,94
PRES ~ PRES PROG,88
