eng_TAMsimp,SBH,LBH
FUT,0.01,-0.01
FUT ~ MOD shall,-0.1,0.1
IMPV ~ MOD shall,0.08,-0.08
MOD is to ~ MOD shall,0.06,-0.06
PRES,-0.04,0.04
IMPV,-0.03,0.03
MOD shall,0.08,-0.08
MOD must ~ MOD shall,0.07,-0.07
PAST,-0.16,0.16
MOD may,0.0,-0.0
PAST ~ PRES,0.07,-0.07
FUT ~ PRES,0.03,-0.03
MOD shall ~ PRES,0.07,-0.07
FUT ~ MOD may,0.03,-0.03
MOD shall ~ TO INF,0.03,-0.03
MOD may ~ TO INF,-0.02,0.02
PRES ~ PRES PERF,-0.02,0.02
PRES PERF,-0.25,0.25
MOD would ~ PAST,0.07,-0.07
MOD would,-0.02,0.02
PRES ~ PRES PART,-0.03,0.03
TO INF,-0.05,0.05
MOD let,-0.12,0.12
MOD may ~ MOD shall,0.07,-0.07
MOD shall ~ PRES PART,0.07,-0.07
MOD may ~ PRES,0.0,-0.0
IMPV ~ MOD let,0.07,-0.07
PAST ~ PRES PART,-0.07,0.07
PRES ~ TO INF,-0.08,0.08
FUT ~ MOD lest,-0.01,0.01
PRES PART,-0.08,0.08
IMPV ~ PRES,0.07,-0.07
MOD can ~ MOD may,-0.11,0.11
MOD can ~ MOD shall,0.07,-0.07
MOD is to ~ MOD let,0.07,-0.07
FUT ~ MOD would,-0.05,0.05
FUT ~ TO INF,0.07,-0.07
IMPV ~ TO INF,0.07,-0.07
MOD is to ~ PRES,0.07,-0.07
MOD let ~ MOD shall,0.07,-0.07
FUT ~ IMPV,0.07,-0.07
MOD lest ~ TO INF,0.07,-0.07
MOD is to ~ PAST,0.07,-0.07
FUT ~ PAST,-0.33,0.33
FUT ~ PRES PART,-0.13,0.13
MOD let ~ MOD may,0.07,-0.07
PAST ~ PAST PROG,-0.13,0.13
MOD may ~ MOD must,0.07,-0.07
MOD shall ~ MOD would,0.07,-0.07
IMPV ~ PAST,0.07,-0.07
MOD shall ~ MOD should,0.07,-0.07
HAB used to ~ PAST,0.07,-0.07
PAST ~ TO INF,-0.18,0.18
MOD shall ~ PAST,0.07,-0.07
FUT ~ MOD let,0.07,-0.07
IMPV ~ MOD must,0.07,-0.07
MOD let ~ TO INF,0.07,-0.07
IMPV ~ MOD lest,0.07,-0.07
HAB used to ~ MOD would,0.07,-0.07
MOD can,-0.26,0.26
IMPV ~ MOD would,0.07,-0.07
MOD is to ~ TO INF,0.07,-0.07
IMPV ~ MOD may,0.07,-0.07
PAST ~ PRES PERF,-0.93,0.93
MOD would ~ PRES,0.07,-0.07
MOD should ~ PRES,0.07,-0.07
PAST PERF,-0.26,0.26
MOD was to,0.07,-0.07
MOD shall ~ PRES PERF,0.07,-0.07
MOD should,-0.6,0.6
MOD lest ~ MOD might,0.07,-0.07
PAST ~ PAST PERF,0.07,-0.07
IMPV ~ MOD is to,0.07,-0.07
FUT ~ PRES PERF,0.07,-0.07
MOD that be ~ TO INF,0.07,-0.07
MOD VB ~ PRES,0.07,-0.07
FUT ~ MOD must,0.07,-0.07
PRES ~ PRES PROG,0.07,-0.07
MOD was to ~ PAST,-0.43,0.43
FUT ~ FUT PERF,0.07,-0.07
FUT going-to ~ MOD shall,0.07,-0.07
IMPV ~ PRES PART,0.07,-0.07
MOD must ~ PRES PART,0.07,-0.07
MOD let ~ PRES,0.07,-0.07
MOD can ~ PRES,0.07,-0.07
MOD lest ~ MOD must,0.07,-0.07
MOD would ~ PRES PART,0.07,-0.07
MOD could ~ MOD may,0.07,-0.07
MOD lest ~ PRES PART,0.07,-0.07
MOD can ~ MOD let,0.07,-0.07
MOD let ~ PRES PART,-0.93,0.93
MOD is to ~ PRES PART,0.07,-0.07
FUT ~ FUT PROG,0.07,-0.07
FUT ~ FUT going-to,0.07,-0.07
MOD would ~ PRES PROG,0.07,-0.07
FUT ~ MOD VB,0.07,-0.07
FUT ~ MOD can,0.07,-0.07
MOD might,0.07,-0.07
MOD lest ~ PRES,0.07,-0.07
MOD let ~ MOD might,-0.93,0.93
MOD let ~ MOD must,0.07,-0.07
MOD is to ~ MOD may,-0.93,0.93
PRES PERF ~ TO INF,0.07,-0.07
FUT ~ MOD should,0.07,-0.07
FUT ~ MOD that be,0.07,-0.07
FUT ~ MOD is to,0.07,-0.07
MOD let ~ MOD would,-0.93,0.93
MOD could ~ MOD would,-0.93,0.93
IMPV ~ MOD VB,0.07,-0.07
MOD might ~ MOD would,0.07,-0.07
MOD must,0.07,-0.07
PAST PROG ~ TO INF,0.07,-0.07
MOD must ~ PRES,0.07,-0.07
MOD lest ~ MOD may,0.07,-0.07
MOD let ~ MOD should,0.07,-0.07
MOD quest must ~ MOD shall,0.07,-0.07
MOD ~ MOD would,0.07,-0.07
HAB used to ~ PAST PROG,0.07,-0.07
PAST PERF ~ PRES PART,-0.93,0.93
MOD may ~ PRES PART,-0.93,0.93
HAB used to,0.07,-0.07
MOD could,0.07,-0.07
MOD VB ~ MOD can,0.07,-0.07
MOD could ~ TO INF,-0.93,0.93
