eng_TAMsimp,person,V,AV,_W_V,_W_SV,SV,_W_AV,_W_OV,OV,QV,_W_SAV,SAV,_W_QV,CV,QAV,ASV,_W_OAV,OAV,AOV,IV,_W_ASV,_W_SOV,QSV,CAV,SOV,QOV,IAV,ISV,_W_AOV,ASAV,_W_OSV,ISAV,COV,CSV,CQV,IOV,OOV,_W_IV,_W_OQV,_W_ASAV,_W_OOV,_W_CV,CSAV,RV,QSAV,OSV,OASV,CQAV,SOAV,ASOV,_W_ISV,_W_IAV,QSAOV,_W_QOV,QAOV,_W_AOAV,_W_SOAV,_W_COV,_W_QAV,IISOAV,OQV,SAOV,_W_ASOV,AOAV
FUT ~ MOD shall,p3,6.56,5.06,6.13,5.06,6.66,11.48,42.03,45.22,311.0,17.09,30.2,1247.0,1247.0,1247.0,103.0,311.0,311.0,623.0,623.0,155.0,207.0,inf,inf,311.0,inf,623.0,207.0,623.0,415.0,623.0,1247.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1247.0,inf,inf,inf,inf,inf,inf,1247.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1247.0,inf
PRES,p3,3.66,4.83,9.11,10.83,9.38,15.43,24.17,23.14,44.5,30.97,33.79,294.75,55.33,168.0,72.94,590.5,235.6,130.44,146.88,168.0,294.75,168.0,393.33,196.17,inf,393.33,590.5,1182.0,393.33,590.5,393.33,1182.0,590.5,393.33,1182.0,inf,inf,inf,inf,1182.0,inf,inf,590.5,inf,590.5,1182.0,1182.0,inf,inf,inf,1182.0,inf,inf,inf,inf,inf,inf,inf,1182.0,inf,inf,inf,1182.0
FUT,p1,3.33,3.82,6.02,11.55,23.08,11.73,9.48,14.63,890.0,296.0,296.0,inf,296.0,inf,444.5,58.4,110.37,147.5,221.75,890.0,inf,inf,444.5,890.0,inf,inf,inf,inf,inf,890.0,inf,inf,inf,inf,inf,890.0,890.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,890.0,inf,inf,inf,inf,inf,inf,inf
FUT,p3,4.18,4.47,5.71,8.04,6.7,18.69,29.55,58.07,25.85,43.3,67.15,294.33,294.33,220.5,109.75,294.33,220.5,294.33,442.0,442.0,146.67,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,442.0,294.33,inf,885.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,885.0,inf,inf
IMPV,p2,1.06,9.07,5.41,27.2,563.0,10.75,14.67,20.69,inf,inf,inf,inf,inf,inf,inf,281.0,563.0,281.0,69.5,563.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,563.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD shall,p2,3.02,3.28,9.74,114.5,inf,8.62,6.11,5.6,inf,inf,inf,inf,inf,inf,inf,76.0,230.0,inf,inf,inf,inf,inf,461.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,p3,0.86,15.82,3.77,34.75,12.62,70.5,39.86,56.2,inf,142.0,142.0,inf,inf,inf,285.0,285.0,inf,inf,inf,inf,142.0,inf,inf,285.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,285.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,p3,2.97,3.16,12.58,11.29,10.73,7.6,18.85,35.86,inf,63.5,63.5,inf,inf,inf,257.0,inf,257.0,inf,inf,85.0,inf,inf,inf,128.0,inf,257.0,inf,inf,257.0,inf,inf,inf,inf,inf,inf,inf,257.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,257.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,p2,6.61,2.54,6.61,7.1,40.83,7.66,11.55,15.73,inf,34.86,inf,inf,inf,inf,250.0,124.5,inf,250.0,inf,inf,inf,inf,inf,inf,inf,250.0,inf,inf,inf,inf,inf,inf,inf,inf,250.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,p3,8.2,5.76,5.97,5.05,4.61,19.91,24.56,27.75,75.67,31.86,31.86,229.0,75.67,inf,75.67,inf,inf,229.0,inf,114.0,229.0,inf,229.0,inf,229.0,inf,inf,inf,229.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
