,,V,AV,_W_V,_W_SV,SV,_W_AV,_W_OV,OV,QV,_W_SAV,SAV,_W_QV,CV,QAV,ASV,_W_OAV,OAV,AOV,IV,_W_ASV,_W_SOV,QSV,CAV,SOV,QOV,IAV,ISV,_W_AOV,ASAV,_W_OSV,ISAV,COV,CSV,CQV,IOV,OOV,_W_IV,_W_OQV,_W_ASAV,_W_OOV,_W_CV,CSAV,RV,QSAV,OSV,OASV,CQAV,SOAV,ASOV,_W_ISV,_W_IAV,QSAOV,_W_QOV,QAOV,_W_AOAV,_W_SOAV,_W_COV,_W_QAV,IISOAV,OQV,SAOV,_W_ASOV,AOAV
FUT ~ MOD shall,p3,-16.16,-0.26,-1.09,24.7,15.39,1.34,-6.76,-4.01,-16.94,17.88,6.0,-3.28,-3.1,-2.41,0.94,-0.18,0.0,-0.51,-0.37,1.59,1.32,-1.0,-0.8,0.54,-0.6,0.17,2.44,0.2,0.97,0.53,-0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0
PRES,p3,-0.18,-0.0,-9.05,0.16,3.45,-0.38,-1.23,0.03,-3.0,2.98,4.05,-1.1,3.61,0.0,2.73,-0.78,0.1,1.51,1.56,1.11,0.49,2.07,0.31,1.7,-0.61,0.69,0.18,0.0,1.03,0.57,1.28,-0.0,0.74,2.28,0.42,0.0,0.0,0.0,0.0,0.67,0.0,0.0,1.89,0.0,1.89,0.95,0.95,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.95
FUT,p1,0.4,2.47,-0.64,-0.05,-3.68,0.85,7.74,3.12,-14.23,-3.99,-2.93,-2.95,-0.8,-2.42,-0.77,5.23,1.82,0.9,0.28,-0.29,-0.59,-0.6,0.16,0.0,-0.41,-0.2,-0.2,-0.21,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.52,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,p3,-1.33,0.45,-0.3,2.79,10.42,-1.31,-2.17,-4.39,-0.07,0.53,-0.0,-0.79,-0.8,-0.18,0.6,-0.1,0.25,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.23,0.76,1.61,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0
IMPV,p2,45.99,-6.03,0.0,-5.09,-16.52,1.09,0.77,0.29,-9.79,-4.26,-3.4,-1.63,-1.65,-1.28,-1.31,0.0,-0.14,-0.0,3.55,0.0,-0.2,-0.2,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,p2,0.87,3.31,-4.32,-12.05,-14.78,2.67,13.22,21.44,-7.77,-3.57,-2.67,-1.28,-1.29,-1.12,-0.93,1.74,0.16,-0.39,-0.4,-0.19,-0.21,-0.21,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,p3,32.04,-7.77,1.78,-3.59,0.09,-4.47,-1.4,-1.32,-4.79,-0.74,-0.35,-0.75,-0.76,-0.58,0.0,0.0,-0.2,-0.2,0.0,0.0,0.89,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,p3,0.65,2.36,-4.21,0.0,0.49,2.49,0.0,-0.47,-4.26,0.0,0.1,-0.56,-0.57,-0.38,0.0,-0.2,0.21,0.0,0.0,1.4,0.0,0.0,0.0,1.07,0.0,0.53,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,p2,-3.43,5.06,-0.53,1.72,-2.79,2.36,1.24,0.84,-4.07,0.64,-1.26,-0.57,-0.57,-0.38,0.0,0.49,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,p3,-4.92,-0.42,-0.19,4.61,7.6,-0.54,-0.26,-0.13,-1.43,0.7,1.29,0.0,0.58,-0.39,0.79,-0.2,0.0,0.25,0.0,0.83,0.4,0.0,0.44,0.0,0.5,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,p3,-2.96,3.97,-1.76,3.06,0.1,0.0,1.08,0.53,-3.36,0.94,0.61,-0.38,-0.38,-0.19,-0.19,-0.2,0.26,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,p3,-4.15,10.23,-6.37,-0.1,1.64,5.23,-0.0,-0.7,-3.01,0.0,0.43,-0.39,-0.39,-0.19,-0.2,0.23,0.29,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,p2,-0.32,1.92,-2.28,-3.31,-2.56,-0.18,-0.21,-0.44,9.45,-1.28,-0.92,4.67,0.72,4.46,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,2.25,0.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0
PRES,p2,-0.67,-1.1,-1.47,-4.63,-2.88,-0.98,0.06,0.07,19.17,-1.28,-0.27,1.2,8.74,3.67,-0.2,0.23,0.29,2.37,0.0,0.0,0.0,0.0,1.3,0.0,1.43,0.65,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,p3,-0.51,-1.98,13.57,-1.32,2.61,0.0,-0.94,-1.3,-2.68,-0.42,0.13,-0.19,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,p1,0.22,3.63,-1.11,-2.17,-2.2,0.14,-0.07,-0.42,-0.74,-0.28,0.0,-0.2,1.04,1.22,0.25,0.0,0.39,1.9,1.16,0.0,0.0,0.0,0.0,0.63,0.69,1.85,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,p3,-0.13,0.15,-5.8,0.14,4.41,-0.35,3.14,-0.47,-0.48,-0.14,1.07,0.0,0.23,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,p3,-1.29,-3.02,0.05,-0.42,-1.04,-0.91,-0.89,-1.82,18.87,-0.56,-0.38,14.16,0.23,0.28,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0
MOD must ~ MOD shall,p2,0.25,0.44,-2.15,-1.32,-3.08,0.61,3.97,5.81,-1.64,-0.57,-0.39,0.0,0.0,0.0,0.0,1.06,0.0,0.5,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,p3,12.92,-4.65,0.57,0.0,-0.07,-1.18,-2.0,-0.88,-1.47,-0.57,0.18,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,p3,6.01,-3.56,2.2,0.0,0.8,-1.68,-0.62,-0.73,-1.27,0.0,-0.19,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,p3,-2.86,3.4,-2.6,2.04,0.7,0.0,0.2,-0.57,-1.09,1.16,2.1,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
