genre,prose,poetry,prophetic,instruction,poetry,prose,instruction,prophetic,prophetic,poetry,instruction,list,prose,list,prose,list,prophetic,list,instruction
domain2,Q,Q,Q,Q,?,D,D,D,?,D,?,Q,N,D,?,?,N,N,N
eng_TAMsimp,,,,,,,,,,,,,,,,,,,
PRES,-0.15,0.15,-0.05,-0.01,0.05,-0.01,0.0,-0.0,0.0,0.02,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
FUT,0.02,0.01,0.12,-0.11,-0.0,-0.02,-0.01,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
FUT ~ MOD shall,-0.01,-0.18,0.29,-0.06,-0.02,-0.02,-0.01,0.01,0.01,-0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
IMPV,0.13,0.07,-0.02,-0.09,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let,0.15,0.03,-0.04,-0.09,0.01,-0.01,-0.01,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD shall,-0.02,-0.28,-0.21,0.5,-0.02,-0.01,0.07,-0.01,-0.01,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST,-0.24,0.17,-0.11,-0.12,-0.01,0.21,-0.01,0.03,-0.0,0.03,-0.0,-0.0,0.02,0.02,0.01,0.0,-0.0,0.0,-0.0
FUT ~ PRES,-0.08,0.13,0.02,-0.08,0.04,-0.01,-0.01,0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may,0.19,-0.05,-0.14,0.05,-0.02,-0.01,0.01,-0.01,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ MOD shall,-0.1,-0.27,-0.2,0.54,-0.02,-0.01,0.06,-0.01,-0.01,-0.01,0.02,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD shall,-0.09,-0.27,-0.16,0.53,-0.02,-0.01,0.02,-0.01,-0.01,-0.01,0.02,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,-0.03,0.14,-0.01,-0.09,0.02,-0.01,-0.01,-0.01,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall,0.18,-0.22,-0.16,0.25,-0.02,-0.01,0.01,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD may,0.15,-0.01,-0.06,-0.01,-0.02,-0.01,-0.0,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES,-0.04,-0.11,-0.02,0.19,-0.02,-0.01,0.02,-0.01,-0.01,-0.01,0.02,0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD let,0.27,-0.01,-0.1,-0.08,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,-0.07,0.22,-0.08,-0.12,-0.02,0.06,-0.01,0.0,-0.01,-0.01,-0.0,0.01,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD may,0.01,0.4,-0.22,-0.11,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0
PAST ~ PRES,-0.2,0.21,0.03,-0.11,0.01,0.02,0.0,0.01,0.01,0.01,-0.0,0.01,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PART,-0.1,0.09,0.01,-0.01,0.02,-0.01,-0.0,-0.0,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PERF,-0.03,0.09,-0.05,0.04,-0.02,-0.01,0.02,0.0,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should,0.29,-0.07,-0.1,-0.12,-0.02,0.05,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,0.01
TO INF,0.16,-0.07,0.01,-0.07,-0.02,-0.0,-0.01,-0.01,-0.01,0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD lest,0.19,-0.07,-0.12,0.09,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES,0.01,0.16,-0.04,-0.1,0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD may,0.43,-0.14,-0.19,-0.04,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES,0.13,-0.02,-0.11,-0.01,0.02,-0.01,0.03,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD can,0.01,0.03,0.08,-0.1,0.01,-0.01,-0.01,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.01,0.13,-0.06,-0.02,-0.02,-0.01,0.0,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES,-0.03,0.19,0.01,-0.08,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD shall,0.0,-0.04,-0.17,0.23,0.01,-0.01,0.0,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART,-0.05,0.05,0.1,-0.08,-0.02,0.01,-0.01,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD shall,0.1,-0.03,0.05,-0.07,0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD would,0.08,0.17,-0.04,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ TO INF,0.56,-0.22,-0.19,-0.05,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES,0.15,0.07,-0.06,-0.07,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ TO INF,-0.12,-0.0,-0.13,0.26,0.02,-0.01,-0.01,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could,-0.1,0.0,-0.16,0.01,-0.02,0.23,-0.01,0.04,-0.01,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must,0.1,-0.12,0.04,0.03,-0.02,-0.01,-0.01,-0.01,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ TO INF,0.31,-0.24,0.0,0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PERF,-0.21,0.38,-0.02,-0.06,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD may,0.38,-0.03,-0.23,-0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD let,0.11,0.12,-0.05,-0.09,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ TO INF,0.21,-0.01,-0.03,-0.12,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ MOD should,0.21,-0.2,0.16,-0.08,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES,0.0,0.15,-0.05,-0.12,0.05,-0.01,-0.01,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST,-0.27,-0.16,-0.19,-0.05,-0.02,0.54,-0.01,0.16,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.03,-0.0,-0.0,-0.0
FUT ~ IMPV,0.06,0.07,0.03,-0.12,-0.02,-0.01,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES,-0.06,0.4,-0.22,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,0.03,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ TO INF,0.41,0.01,-0.21,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PART,-0.22,0.07,-0.16,-0.07,-0.02,0.18,-0.01,0.18,0.04,-0.01,-0.0,-0.0,-0.0,0.05,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PART,-0.18,-0.27,0.17,0.31,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES,-0.01,0.1,-0.15,0.09,-0.02,-0.01,0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ TO INF,0.1,-0.0,-0.1,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.16,-0.0,-0.0,0.05,-0.0,-0.0,-0.0
FUT ~ PRES PART,0.04,-0.16,0.16,-0.12,-0.02,-0.01,-0.01,0.04,0.1,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST,0.02,-0.03,0.15,-0.12,-0.02,-0.01,-0.01,0.05,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD shall,-0.04,-0.27,0.09,0.0,-0.02,-0.01,0.28,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD may,-0.08,-0.02,-0.2,0.26,-0.02,-0.01,0.05,0.05,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG,0.17,-0.14,-0.13,0.01,-0.02,-0.01,0.17,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD must,0.51,-0.27,-0.19,0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD must,0.51,-0.27,-0.12,-0.05,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ PRES,0.44,-0.12,-0.19,-0.05,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD would,-0.06,0.23,-0.19,-0.12,-0.02,-0.01,0.06,0.06,-0.01,-0.01,-0.0,-0.0,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PAST,0.09,-0.27,0.24,0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might,0.04,0.19,-0.03,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ TO INF,-0.19,-0.04,-0.11,-0.04,-0.02,0.22,-0.01,0.07,-0.01,-0.01,-0.0,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,0.08,-0.0
HAB used to ~ PAST,-0.02,-0.18,-0.09,-0.12,-0.02,0.49,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PAST,-0.19,0.32,-0.18,-0.03,0.15,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD must,0.23,-0.18,-0.26,0.22,-0.02,-0.01,0.07,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD should,-0.1,0.07,0.07,-0.03,0.06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD can,-0.1,0.57,-0.26,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD should,0.55,-0.18,-0.17,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD should,-0.18,-0.27,0.65,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF,-0.17,0.13,-0.26,-0.12,-0.02,0.29,-0.01,-0.01,0.09,-0.01,-0.0,-0.0,0.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES PART,0.03,-0.07,0.04,0.08,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to,0.23,-0.27,-0.16,0.08,0.18,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD let,0.33,-0.27,-0.26,0.28,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ PAST,-0.16,-0.16,-0.04,0.11,-0.02,0.1,0.1,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.11,-0.0,-0.0,-0.0,-0.0
IMPV ~ TO INF,0.06,-0.16,0.07,0.11,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD could,0.1,0.23,-0.13,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD should,0.23,-0.14,0.12,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD was to,0.01,0.02,-0.26,-0.12,-0.02,0.27,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD let,0.59,-0.27,-0.12,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PAST,0.01,-0.12,0.31,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ TO INF,0.01,0.16,0.03,-0.12,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES PART,0.3,-0.27,0.03,-0.12,-0.02,-0.01,-0.01,-0.01,0.13,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might ~ MOD would,-0.27,0.16,0.17,-0.12,-0.02,-0.01,0.13,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
