cl_args,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
AVS,0.13,0.01,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RVC,0.49,0.29,0.03,0.18,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
RV,0.42,0.34,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.29,0.24,0.42,0.01,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
VO,0.34,0.34,0.26,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
VS,0.22,0.17,0.59,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_SV,0.65,0.09,0.17,0.06,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
_W_SVC,0.73,0.12,0.06,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_SVO,0.66,0.13,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVO,0.43,0.31,0.22,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV,0.37,0.23,0.37,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC,0.32,0.36,0.29,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0
RVS,0.3,0.21,0.07,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
OV,0.28,0.43,0.26,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
RVO,0.49,0.24,0.06,0.18,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_VS,0.37,0.2,0.27,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RVSC,0.46,0.13,0.09,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_V,0.5,0.16,0.29,0.02,0.02,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0
_W_OV,0.6,0.2,0.14,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
SVC,0.36,0.32,0.26,0.03,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
AV,0.43,0.19,0.34,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_VC,0.43,0.32,0.13,0.11,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVO,0.47,0.24,0.22,0.04,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_VO,0.2,0.51,0.19,0.08,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
RVA,0.46,0.21,0.11,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,0.32,0.38,0.27,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
_W_OVC,0.77,0.16,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,0.22,0.33,0.41,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_V,0.4,0.12,0.12,0.0,0.0,0.16,0.16,0.01,0.03,0.0,0.0,0.0,0.0,0.0
RVOC,0.64,0.22,0.01,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVSC,0.44,0.05,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CV,0.48,0.17,0.3,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
OVC,0.35,0.5,0.13,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_SVA,0.72,0.05,0.13,0.08,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
RVCA,0.63,0.17,0.03,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_AVS,0.12,0.02,0.83,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOC,0.4,0.42,0.16,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_AVC,0.88,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSO,0.14,0.54,0.25,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_VSC,0.2,0.36,0.11,0.3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
_>CR_VC,0.71,0.19,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_>CR_VS,0.58,0.13,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVA,0.54,0.19,0.23,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_SV,0.18,0.59,0.14,0.06,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_VS,0.63,0.02,0.08,0.02,0.0,0.14,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0
VCO,0.45,0.41,0.1,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_>CR_V,0.5,0.3,0.06,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_CV,0.71,0.17,0.08,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
_>CR_VO,0.45,0.45,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_SVO,0.07,0.53,0.31,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RVCS,0.35,0.33,0.02,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RVOS,0.49,0.3,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_VC,0.26,0.4,0.07,0.09,0.0,0.16,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
AVC,0.55,0.29,0.1,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_VA,0.45,0.17,0.33,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_AVS,0.95,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_OVA,0.88,0.05,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RVSA,0.5,0.15,0.02,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSA,0.44,0.18,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_>CR_VSO,0.77,0.13,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOA,0.32,0.42,0.24,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVO,0.47,0.34,0.13,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
_W_AVO,0.64,0.33,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_VSO,0.31,0.23,0.09,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_CVO,0.66,0.23,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVOC,0.65,0.24,0.03,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_AV,0.62,0.26,0.09,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_W_SVOC,0.52,0.15,0.03,0.24,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KJ_SVC,0.31,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
