,RV,V,AV,_W_SV,_KJ_V,SV,_W_AV,_>CR_V,_W_OV,_W_V,OV,QV,_KJ_AV,_KJ_SV,_KJ_OV,IV,_>M_V,SAV,_W_SAV,ASV,_W_RV,ISV,_W_IV,QAV,_W_OAV,OAV,_W_QV,_W__KJ_V,AOV,_W__>M_V,RSV,_W_SOV,_J<N/_V,_>W_V,IAV,IIV,_KJ__>M_V,IOV,_W__>CR_V,_<D_V,_W_ASV,_W_ISV,_>M_IV,QSV,_W_SVV,_>M_SV,_W__>M_AV,_>M_AV,RAV,_KJ_QV,_LW_V,_KJ_ASV,SOV,_C_V,_KJ_SAV,_>CR__>M_V,QOV,_LWL>_SV,_>M_OV,_>W_QV,_>XR/_V,_W_AOV,_J<N/_OV,_KJ_VSV,_KJ_IV,_LWL>_V,_>CR_AV,_>CR_SV,_KJ_ISV,_W_IAV,OSV,SVV,_KJ__LWL>_V,VV,_KJ__>M_AV,_KJ_OAV,_W__LW_V,_LM<N_V,ARV,ROV,AVV,ASAV,ASOV,IIAV,A_KJ_V,A_KJ_SV,A_KJ_AV,A_>CR_AV,OASV,_ZWLH/_OV,SAOV,_KMW_V,_W__KJ_OV,_W__>M_SV,_W__>M_OV,_W_VAV,_W_QSV,_W_QAV,_W_OSVV,_W_OSV,_W_A_KJ_V,_PN_V,_LW_AV,_K_V,_KJ__>M_SAV,VSV,_KJ__>M_OV,_KJ_SOV,_KJ_AVV,_KJ_AOV,_C_SV,_C_AV,_BLT/_V,_>LW_AV,_<QB/_V,_<L_V,_<L_OV,_<D_SV,_J<N/_AV
PAST..IND,3.75,-27.39,-5.12,56.3,-9.03,0.22,41.57,9.16,31.63,0.44,-0.15,-21.25,-6.35,-9.79,-5.12,-3.84,-5.31,-0.06,-0.06,0.32,1.03,-1.61,-0.41,-0.29,1.26,-1.02,-0.32,0.0,-0.69,-2.48,-1.71,-0.38,0.11,-1.53,-0.28,-2.18,-0.69,-0.69,-0.0,-0.0,0.0,1.61,-1.91,-0.15,0.33,0.0,-0.61,-0.61,-0.61,-1.39,-0.61,-0.4,-0.4,0.49,-0.85,-0.58,-0.58,0.0,0.0,1.1,-0.58,0.0,-0.58,0.73,-0.29,-0.29,-0.0,-0.0,-0.0,-0.0,-0.29,-0.29,-0.29,-0.29,-0.0,-0.29,-0.29,-0.29,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.37
PRES.PERF.IND,0.15,8.97,-28.09,-23.53,6.1,0.57,-5.08,-0.46,-6.75,-1.65,2.83,22.85,-0.25,11.51,7.25,4.47,3.27,-0.07,-1.54,-0.08,-0.08,0.62,1.07,0.92,-1.02,0.11,0.39,0.0,-0.11,0.0,-0.86,-0.13,1.07,-0.5,1.74,1.13,-0.33,0.15,0.0,-0.16,-0.16,-0.67,4.88,0.0,-0.69,0.0,0.79,2.37,1.45,1.45,-0.46,0.0,-0.46,-0.24,-0.0,0.82,0.24,0.0,0.82,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0,1.22,0.37,0.37,0.0,0.0,0.61,0.0,0.61,0.0,0.0,0.61,0.0,0.61,0.61,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0
PRES..IND,-82.88,39.59,98.97,-15.21,-0.92,1.73,-17.64,-25.24,-10.27,-6.69,0.22,-3.54,9.65,-0.15,-0.98,0.12,1.66,1.17,4.03,-0.0,-1.92,1.05,-0.7,-1.91,0.25,1.07,-0.83,-1.48,1.23,3.67,5.64,0.77,-1.09,3.4,-0.15,1.36,0.34,0.0,-0.66,-0.0,0.16,0.0,-0.67,-0.45,-0.45,0.19,0.21,-0.45,0.0,0.0,-0.45,0.53,2.05,-0.23,1.48,0.29,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.42,0.42,0.0,0.0,0.42,0.0,1.33,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.0,0.0
PAST.PERF.IND,81.89,-43.01,-29.76,-0.61,9.17,-8.87,-9.2,5.86,-4.71,-2.49,-8.34,3.15,-0.22,0.18,0.57,-2.06,-0.2,-0.44,-0.95,-0.97,1.08,-0.58,0.16,1.7,-0.41,-0.41,1.9,2.01,0.42,0.0,-0.2,-0.21,-0.21,0.22,0.0,0.0,0.0,0.24,1.5,0.27,0.87,0.0,0.0,1.83,0.0,0.35,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.54,0.0,0.0,1.72,1.72,0.0,0.0,3.27,0.0,0.65,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,1.09,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,1.09,0.0,0.0
FUT..IND,-5.5,2.28,0.35,-0.28,-0.43,0.51,0.45,-0.73,-0.14,-0.14,0.0,0.74,-0.39,0.0,1.05,0.45,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,-2.2,0.0,-0.26,-0.91,-1.22,-0.74,-0.75,-0.76,-0.14,25.9,0.0,0.0,1.99,-0.2,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,-2.43,-1.73,-0.69,-0.32,-0.49,-0.59,-0.55,-0.57,0.15,26.23,0.0,1.53,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,-0.19,0.63,1.05,-0.12,-0.29,-0.58,0.0,0.0,0.0,1.81,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,-0.12,0.0,-0.59,-0.4,0.0,0.0,0.0,0.0,0.0,0.99,0.4,0.0,0.0,0.0,0.0,5.37,0.0,0.0,0.0,1.23,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,-0.84,-0.84,-0.41,0.96,1.09,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,7.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
