cl_args,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
AVS,-0.32,-0.25,0.67,-0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVC,0.06,0.04,-0.19,0.1,-0.01,-0.0,-0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RV,-0.01,0.09,-0.14,0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
V,-0.15,-0.01,0.21,-0.08,0.02,0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VO,-0.09,0.1,0.05,-0.07,0.01,0.0,-0.01,0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
VS,-0.22,-0.07,0.38,-0.08,0.0,-0.01,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
_W_SV,0.23,-0.16,-0.05,-0.02,0.0,-0.01,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
_W_SVC,0.3,-0.12,-0.16,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
_W_SVO,0.23,-0.12,-0.06,-0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SVO,0.0,0.06,0.01,-0.06,-0.0,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SV,-0.06,-0.01,0.16,-0.07,0.0,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VC,-0.11,0.12,0.08,-0.08,-0.01,0.0,-0.01,0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0
RVS,-0.14,-0.03,-0.15,0.33,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0
OV,-0.15,0.19,0.04,-0.08,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVO,0.06,-0.0,-0.16,0.1,-0.01,0.01,0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VS,-0.06,-0.05,0.06,0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVSC,0.03,-0.11,-0.12,0.24,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_V,0.07,-0.09,0.07,-0.07,0.01,-0.01,0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
_W_OV,0.17,-0.04,-0.07,-0.07,0.0,0.0,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SVC,-0.07,0.08,0.05,-0.06,-0.01,0.01,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
AV,0.0,-0.06,0.13,-0.08,0.01,-0.01,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VC,0.0,0.07,-0.09,0.03,-0.01,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVO,0.04,-0.01,0.0,-0.04,0.0,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VO,-0.23,0.26,-0.03,0.0,0.0,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVA,0.03,-0.03,-0.11,0.14,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VSC,-0.11,0.13,0.05,-0.08,0.0,-0.01,0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OVC,0.34,-0.09,-0.18,-0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VA,-0.21,0.08,0.19,-0.07,0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_V,-0.03,-0.13,-0.1,-0.08,-0.01,0.15,0.16,0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0
RVOC,0.21,-0.02,-0.2,0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVSC,0.01,-0.2,0.29,-0.08,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CV,0.05,-0.07,0.09,-0.08,-0.01,-0.01,-0.01,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OVC,-0.08,0.26,-0.09,-0.08,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_SVA,0.29,-0.2,-0.08,0.0,-0.01,-0.01,-0.01,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0
RVCA,0.2,-0.08,-0.18,0.09,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_AVS,-0.31,-0.23,0.62,-0.07,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VOC,-0.03,0.18,-0.06,-0.08,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AVC,0.45,-0.18,-0.16,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VSO,-0.29,0.29,0.03,-0.03,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VSC,-0.23,0.11,-0.11,0.22,-0.01,-0.01,-0.01,-0.0,-0.0,0.03,-0.0,-0.0,-0.0,-0.0
_>CR_VC,0.28,-0.05,-0.2,-0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>CR_VS,0.15,-0.11,-0.22,0.21,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SVA,0.11,-0.05,0.02,-0.06,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_SV,-0.25,0.34,-0.08,-0.02,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_VS,0.2,-0.23,-0.14,-0.06,-0.01,0.13,0.09,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VCO,0.02,0.17,-0.12,-0.06,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>CR_V,0.07,0.05,-0.16,0.06,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_CV,0.28,-0.08,-0.13,-0.06,-0.01,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>CR_VO,0.02,0.2,-0.22,0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_SVO,-0.37,0.29,0.1,-0.02,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVCS,-0.08,0.08,-0.19,0.22,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVOS,0.06,0.06,-0.22,0.13,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_VC,-0.17,0.15,-0.15,0.01,-0.01,0.16,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AVC,0.12,0.04,-0.12,-0.03,-0.01,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KJ_VA,0.02,-0.08,0.12,-0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AVS,0.52,-0.22,-0.19,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_OVA,0.45,-0.2,-0.22,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RVSA,0.07,-0.1,-0.19,0.24,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VSA,0.01,-0.07,0.17,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>CR_VSO,0.34,-0.12,-0.22,0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
VOA,-0.11,0.18,0.02,-0.08,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CVO,0.04,0.1,-0.08,-0.08,0.02,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_AVO,0.21,0.09,-0.22,-0.08,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
