eng_TAM,RV,V,AV,_W_SV,_KJ_V,SV,_W_AV,_>CR_V,_W_OV,_W_V,OV,QV,_KJ_AV,_KJ_SV,_KJ_OV,IV,_>M_V,SAV,_W_SAV,ASV,_W_RV,ISV,_W_IV,QAV,_W_OAV,OAV,_W_QV,_W__KJ_V,AOV,_W__>M_V,RSV,_W_SOV,_J<N/_V,_>W_V,IAV,IIV,_KJ__>M_V,IOV,_W__>CR_V,_<D_V,_W_ASV,_W_ISV,_>M_IV,QSV,_W_SVV,_>M_SV,_W__>M_AV,_>M_AV,RAV,_KJ_QV,_LW_V,_KJ_ASV,SOV,_C_V,_KJ_SAV,_>CR__>M_V,QOV,_LWL>_SV,_>M_OV,_>W_QV,_>XR/_V,_W_AOV,_J<N/_OV,_KJ_VSV,_KJ_IV,_LWL>_V,_>CR_AV,_>CR_SV,_KJ_ISV,_W_IAV,OSV,SVV,_KJ__LWL>_V,VV,_KJ__>M_AV,_KJ_OAV,_W__LW_V,_LM<N_V,ARV,ROV,AVV,ASAV,ASOV,IIAV,A_KJ_V,A_KJ_SV,A_KJ_AV,A_>CR_AV,OASV,_ZWLH/_OV,SAOV,_KMW_V,_W__KJ_OV,_W__>M_SV,_W__>M_OV,_W_VAV,_W_QSV,_W_QAV,_W_OSVV,_W_OSV,_W_A_KJ_V,_PN_V,_LW_AV,_K_V,_KJ__>M_SAV,VSV,_KJ__>M_OV,_KJ_SOV,_KJ_AVV,_KJ_AOV,_C_SV,_C_AV,_BLT/_V,_>LW_AV,_<QB/_V,_<L_V,_<L_OV,_<D_SV,_J<N/_AV
PAST..IND,4.3,7.28,9.04,5.87,15.33,15.2,13.14,18.69,15.94,29.95,36.08,163.64,76.66,127.62,342.0,342.0,513.5,273.4,293.0,256.25,241.12,822.2,587.0,587.0,342.0,1028.0,685.0,587.0,1028.0,4115.0,2057.0,1028.0,685.0,4115.0,1371.0,inf,2057.0,2057.0,1028.0,1028.0,1371.0,587.0,inf,2057.0,1028.0,1371.0,4115.0,4115.0,4115.0,inf,4115.0,4115.0,4115.0,1371.0,inf,inf,inf,4115.0,4115.0,1371.0,inf,4115.0,inf,2057.0,inf,inf,4115.0,4115.0,4115.0,4115.0,inf,inf,inf,inf,4115.0,inf,inf,inf,inf,inf,inf,inf,4115.0,inf,4115.0,inf,inf,inf,inf,4115.0,4115.0,inf,inf,inf,inf,4115.0,4115.0,inf,4115.0,4115.0,4115.0,inf,inf,inf,inf,4115.0,4115.0,inf,inf,inf,4115.0,inf,inf,inf,inf,4115.0,inf,inf,4115.0
PRES.PERF.IND,4.73,3.76,16.7,22.54,8.49,14.39,39.59,28.8,55.05,41.8,25.75,19.12,50.17,27.71,60.95,77.47,89.54,293.25,783.67,335.29,391.33,260.56,260.56,293.25,2353.0,469.8,391.33,587.5,783.67,783.67,2353.0,1176.0,391.33,2353.0,391.33,469.8,2353.0,783.67,1176.0,2353.0,2353.0,inf,293.25,2353.0,inf,2353.0,783.67,469.8,587.5,587.5,inf,2353.0,inf,inf,2353.0,1176.0,2353.0,inf,1176.0,inf,inf,inf,1176.0,inf,inf,inf,2353.0,2353.0,inf,inf,inf,inf,inf,1176.0,2353.0,2353.0,inf,inf,2353.0,inf,2353.0,inf,inf,2353.0,inf,2353.0,2353.0,inf,2353.0,inf,inf,inf,inf,inf,2353.0,inf,inf,inf,inf,inf,inf,2353.0,inf,inf,inf,inf,inf,2353.0,2353.0,inf,inf,inf,inf,inf,inf,inf,inf,2353.0,inf
PRES..IND,21.41,2.7,2.84,19.62,12.84,13.03,97.19,228.11,78.31,70.1,32.8,84.92,23.55,61.48,228.11,146.29,102.1,157.62,113.56,293.57,2061.0,228.11,1030.0,inf,411.4,293.57,2061.0,inf,293.57,205.2,170.83,411.4,inf,256.75,2061.0,411.4,686.33,1030.0,inf,1030.0,1030.0,2061.0,inf,inf,inf,1030.0,1030.0,inf,2061.0,2061.0,inf,1030.0,514.5,inf,686.33,2061.0,inf,inf,inf,inf,inf,1030.0,inf,inf,2061.0,2061.0,inf,inf,2061.0,inf,1030.0,inf,inf,inf,inf,2061.0,inf,inf,inf,2061.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2061.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2061.0,inf,inf,inf,inf,inf,inf,2061.0,inf,inf,2061.0,inf,inf,inf,inf
PAST.PERF.IND,1.21,47.87,77.2,11.61,5.98,59.15,194.5,12.96,96.75,70.09,781.0,24.23,54.86,51.13,96.75,inf,259.67,781.0,inf,inf,155.4,inf,390.0,155.4,inf,inf,155.4,155.4,390.0,781.0,inf,inf,inf,781.0,inf,inf,inf,781.0,259.67,781.0,390.0,inf,inf,259.67,inf,781.0,inf,inf,inf,inf,194.5,inf,inf,781.0,inf,inf,390.0,390.0,inf,inf,259.67,inf,781.0,inf,inf,781.0,inf,inf,inf,inf,inf,inf,390.0,inf,inf,inf,390.0,inf,inf,inf,inf,781.0,inf,inf,inf,inf,inf,781.0,inf,inf,inf,inf,781.0,inf,inf,inf,inf,781.0,inf,inf,inf,inf,781.0,781.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,781.0,inf,inf,781.0,inf,inf
FUT..IND,inf,2.29,5.9,16.25,22.0,10.5,16.25,inf,68.0,68.0,68.0,22.0,inf,68.0,33.5,68.0,inf,inf,inf,inf,inf,inf,33.5,inf,inf,33.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22.0,68.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,68.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,68.0,inf,inf,inf,inf,68.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST..SUBJ,19.67,5.2,11.4,30.0,61.0,61.0,inf,inf,61.0,1.21,61.0,61.0,11.4,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES..MOD,26.5,17.33,17.33,17.33,26.5,54.0,inf,inf,26.5,1.04,54.0,12.75,54.0,26.5,inf,inf,inf,inf,inf,inf,inf,54.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,54.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,26.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES..,7.0,3.0,3.57,15.0,31.0,inf,31.0,31.0,31.0,7.0,31.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,31.0,inf,inf,inf,inf,inf,inf,inf,inf,31.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PROG.IND,8.0,5.0,inf,inf,17.0,17.0,inf,inf,inf,8.0,17.0,inf,inf,inf,inf,3.5,inf,inf,inf,17.0,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST.PROG.IND,inf,inf,inf,3.33,3.33,inf,inf,inf,inf,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12.0,inf,inf,inf,inf,3.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
