period,SBH,LBH,SBH,LBH,SBH
genre,prose,prose,poetry,poetry,prophetic
eng_TAM,,,,,
PAST..IND,0.35,3.64,31.86,85.1,1247.5
PRES.PERF.IND,0.23,5.18,83.0,167.0,167.0
PAST.PERF.IND,0.4,2.61,158.0,317.0,inf
PRES..IND,0.25,5.46,28.08,173.5,173.5
PRES..MOD,0.32,3.62,36.0,inf,inf
PAST..SUBJ,0.19,5.17,inf,inf,inf
PAST.PROG.IND,0.22,4.5,inf,inf,inf
FUT..IND,0.22,4.5,inf,inf,inf
PRES.PROG.IND,0.43,2.33,inf,inf,inf
PRES..,0.0,inf,inf,inf,inf
past.PERF_PROG.IND,1.0,1.0,inf,inf,inf
PRES.PERF_PROG.IND,0.0,inf,inf,inf,inf
..,0.0,inf,inf,inf,inf
