,SBH,LBH,SBH,LBH,SBH
,prose,prose,poetry,poetry,prophetic
PAST..IND,-2.74,0.93,3.84,1.84,-1.29
PRES.PERF.IND,5.45,-4.29,-2.09,-0.36,2.0
PAST.PERF.IND,-2.36,5.27,-2.87,-0.8,-0.43
PRES..IND,1.11,-1.88,0.87,-0.12,0.76
PRES..MOD,0.0,0.08,0.24,0.0,0.0
PAST..SUBJ,0.47,-0.17,0.0,0.0,0.0
PAST.PROG.IND,-0.0,0.0,0.0,0.0,0.0
FUT..IND,-0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,-0.15,0.36,0.0,0.0,0.0
PRES..,0.88,-0.64,0.0,0.0,0.0
past.PERF_PROG.IND,-0.37,0.43,0.0,0.0,0.0
PRES.PERF_PROG.IND,-0.0,0.0,0.0,0.0,0.0
..,-0.0,0.0,0.0,0.0,0.0
