,Main,SubAdv,SubMod,SubArg
MOD shall,101.88,-69.92,-18.9,-5.78
PRES,-229.53,123.12,80.74,3.06
FUT,11.44,-3.51,-13.65,0.2
MOD let,82.13,-49.18,-22.93,-5.78
MOD may,-0.23,3.21,-2.86,-2.37
PAST,-0.12,-0.35,1.21,0.0
IMPV,30.1,-16.23,-9.85,-3.01
IMPV do not,36.97,-23.91,-9.13,-1.79
MOD can,-4.42,1.08,4.12,0.74
PRES do not,-4.9,3.5,0.93,0.76
MOD would,-0.41,-0.21,-0.7,6.48
MOD should,-16.85,8.24,2.36,5.98
MOD lest,-34.08,49.54,-3.05,-0.74
TO INF,-2.23,-0.95,2.24,8.01
PRES PERF,-10.69,9.51,1.93,-0.14
PRES PART,0.09,-0.66,1.08,0.0
FUT question,3.0,-1.33,-1.04,-0.39
PRES wh-question,7.51,-4.78,-1.48,-0.19
MOD must,-0.05,-0.22,0.76,0.0
PRES question,1.84,-0.54,-1.3,-0.2
MOD quest shall,2.79,-1.26,-0.92,0.0
MOD quest can,0.06,0.49,-0.94,0.0
MOD could,-3.3,0.0,4.99,1.25
MOD might,-3.76,3.43,0.0,1.39
PAST did not,0.31,-0.38,0.18,0.0
MOD is to,-3.33,-0.62,2.9,5.62
MOD quest should,0.4,0.0,-0.21,0.0
FUT wh-question,1.68,-1.01,-0.21,0.0
HAB used to,-0.64,-0.3,1.97,0.6
PAST PERF,-1.38,-0.0,0.83,1.7
MOD was to,-0.52,-0.63,2.56,0.0
PRES do-support,-2.34,3.27,0.0,0.0
MOD that be,-0.16,0.48,0.0,0.0
MOD VB,-1.84,1.72,0.0,0.89
PRES PROG,-0.42,0.48,0.45,0.0
PAST PROG,-0.93,-0.22,1.44,1.01
MOD quest would,0.23,0.0,0.0,0.0
?VB,0.23,0.0,0.0,0.0
MOD,0.23,0.0,0.0,0.0
PRES PERF question,-0.0,0.0,0.0,0.0
PRES shall,-0.29,0.0,0.82,0.0
FUT PROG,-0.0,0.0,0.0,0.0
PAST question,-0.0,0.0,0.0,0.0
PRES PERF wh-question,-0.0,0.0,0.0,0.0
FUT PERF,-0.41,0.57,0.0,0.0
PRES do,-0.41,0.57,0.0,0.0
MOD need not,-0.0,0.0,0.0,0.0
MOD quest could,-0.0,0.0,0.0,0.0
PAST wh-question,-0.0,0.0,0.0,0.0
IMPV not,-0.0,0.0,0.0,0.0
PRES can,-0.67,0.84,0.0,0.0
JJ,-0.0,0.0,0.0,0.0
PAST PROG keep,-0.0,0.0,0.0,0.0
MOD that,-0.0,0.0,0.0,0.0
MOD quest must,-0.0,0.0,0.0,0.0
