esv_TAM,Main,SubAdv,SubMod,SubArg
MOD shall,0.16,-0.11,-0.04,-0.01
PRES,-0.28,0.18,0.09,0.01
FUT,0.06,-0.03,-0.03,0.0
MOD let,0.22,-0.14,-0.06,-0.02
MOD may,-0.01,0.05,-0.03,-0.01
PAST,-0.01,-0.01,0.02,-0.0
IMPV,0.2,-0.12,-0.05,-0.02
IMPV do not,0.21,-0.14,-0.05,-0.01
MOD can,-0.1,0.04,0.06,0.01
PRES do not,-0.13,0.1,0.02,0.01
MOD would,-0.02,-0.02,-0.02,0.06
MOD should,-0.3,0.18,0.06,0.07
MOD lest,-0.49,0.56,-0.05,-0.02
TO INF,-0.1,-0.05,0.06,0.09
PRES PERF,-0.28,0.23,0.06,-0.01
PRES PART,0.02,-0.05,0.04,-0.01
FUT question,0.14,-0.08,-0.04,-0.02
PRES wh-question,0.22,-0.15,-0.05,-0.02
MOD must,-0.01,-0.03,0.04,-0.0
PRES question,0.12,-0.05,-0.05,-0.02
MOD quest shall,0.16,-0.09,-0.05,-0.02
MOD quest can,0.02,0.05,-0.05,-0.02
MOD could,-0.22,-0.01,0.18,0.04
MOD might,-0.25,0.21,-0.01,0.05
PAST did not,0.07,-0.07,0.02,-0.02
MOD is to,-0.33,-0.1,0.2,0.23
MOD quest should,0.11,-0.04,-0.05,-0.02
FUT wh-question,0.22,-0.15,-0.05,-0.02
HAB used to,-0.14,-0.09,0.18,0.04
PAST PERF,-0.25,0.01,0.1,0.14
MOD was to,-0.12,-0.15,0.28,-0.02
PRES do-support,-0.45,0.52,-0.05,-0.02
MOD that be,-0.03,0.1,-0.05,-0.02
MOD VB,-0.41,0.35,-0.05,0.11
PRES PROG,-0.16,0.1,0.07,-0.02
PAST PROG,-0.28,-0.15,0.28,0.15
MOD quest would,0.22,-0.15,-0.05,-0.02
?VB,0.22,-0.15,-0.05,-0.02
MOD,0.22,-0.15,-0.05,-0.02
PRES PERF question,0.22,-0.15,-0.05,-0.02
PRES shall,-0.12,-0.15,0.28,-0.02
FUT PROG,0.22,-0.15,-0.05,-0.02
PAST question,0.22,-0.15,-0.05,-0.02
PRES PERF wh-question,0.22,-0.15,-0.05,-0.02
FUT PERF,-0.28,0.35,-0.05,-0.02
PRES do,-0.28,0.35,-0.05,-0.02
MOD need not,0.22,-0.15,-0.05,-0.02
MOD quest could,0.22,-0.15,-0.05,-0.02
PAST wh-question,0.22,-0.15,-0.05,-0.02
IMPV not,0.22,-0.15,-0.05,-0.02
PRES can,-0.78,0.85,-0.05,-0.02
JJ,0.22,-0.15,-0.05,-0.02
PAST PROG keep,0.22,-0.15,-0.05,-0.02
MOD that,0.22,-0.15,-0.05,-0.02
MOD quest must,0.22,-0.15,-0.05,-0.02
