bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_tm
1426,εἶπεν,aorist,active,indc,3,sg,aorist indc
1508,φαγεῖν,aorist,active,infv,,,aorist infv
1563,ἐκάλεσεν,aorist,active,indc,3,sg,aorist indc
1576,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
1587,ἐνέδυσεν,aorist,active,indc,3,sg,aorist indc
1589,εἶπεν,aorist,active,indc,3,sg,aorist indc
1623,ἐξαπέστειλεν,aorist,active,indc,3,sg,aorist indc
1639,ἐξέβαλεν,aorist,active,indc,3,sg,aorist indc
1644,κατῴκισεν,aorist,active,indc,3,sg,aorist indc
1675,συλλαβοῦσα,aorist,active,ptcp,,sg,aorist ptcp
1677,ἔτεκεν,aorist,active,indc,3,sg,aorist indc
1681,εἶπεν,aorist,active,indc,3,sg,aorist indc
1687,προσέθηκεν,aorist,active,indc,3,sg,aorist indc
1695,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
1705,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
1710,ἤνεγκεν,aorist,active,indc,3,sg,aorist indc
1731,ἐπεῖδεν,aorist,active,indc,3,sg,aorist indc
1747,ἐλύπησεν,aorist,active,indc,3,sg,aorist indc
1752,συνέπεσεν,aorist,active,indc,3,sg,aorist indc
1755,εἶπεν,aorist,active,indc,3,sg,aorist indc
1788,εἶπεν,aorist,active,indc,3,sg,aorist indc
1794,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
1801,ἀνέστη,aorist,active,indc,3,sg,aorist indc
1807,ἀπέκτεινεν,aorist,active,indc,3,sg,aorist indc
1809,εἶπεν,aorist,active,indc,3,sg,aorist indc
1817,εἶπεν,aorist,active,indc,3,sg,aorist indc
1825,εἶπεν,aorist,active,indc,3,sg,aorist indc
1872,εἶπεν,aorist,active,indc,3,sg,aorist indc
1908,εἶπεν,aorist,active,indc,3,sg,aorist indc
1918,ἔθετο,aorist,middle,indc,3,sg,aorist indc
1930,ἐξῆλθεν,aorist,active,indc,3,sg,aorist indc
1937,ᾤκησεν,aorist,active,indc,3,sg,aorist indc
1944,ἔγνω,aorist,active,indc,3,sg,aorist indc
1949,συλλαβοῦσα,aorist,active,ptcp,,sg,aorist ptcp
1951,ἔτεκεν,aorist,active,indc,3,sg,aorist indc
1955,ἦν,imperfect,active,indc,3,sg,imperfect indc
1959,ἐπωνόμασεν,aorist,active,indc,3,sg,aorist indc
1968,ἐγενήθη,aorist,passsive,indc,3,sg,aorist indc
1989,ἔλαβεν,aorist,active,indc,3,sg,aorist indc
2004,ἔτεκεν,aorist,active,indc,3,sg,aorist indc
2045,εἶπεν,aorist,active,indc,3,sg,aorist indc
2077,ἔγνω,aorist,active,indc,3,sg,aorist indc
2083,ἔτεκεν,aorist,active,indc,3,sg,aorist indc
2086,ἐπωνόμασεν,aorist,active,indc,3,sg,aorist indc
2109,ἐπωνόμασεν,aorist,active,indc,3,sg,aorist indc
2139,εὐλόγησεν,aorist,active,indc,3,sg,aorist indc
2142,ἐπωνόμασεν,aorist,active,indc,3,sg,aorist indc
2150,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2157,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2163,ἐπωνόμασεν,aorist,active,indc,3,sg,aorist indc
2168,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
2179,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2184,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
2197,ἀπέθανεν,aorist,active,indc,3,sg,aorist indc
2199,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2207,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2211,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2224,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2229,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
2241,ἀπέθανεν,aorist,active,indc,3,sg,aorist indc
2243,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2248,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2252,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2266,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2271,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
2282,ἀπέθανεν,aorist,active,indc,3,sg,aorist indc
2284,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2289,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2293,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2306,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2311,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
2322,ἀπέθανεν,aorist,active,indc,3,sg,aorist indc
2324,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2332,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2336,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2349,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2354,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
2367,ἀπέθανεν,aorist,active,indc,3,sg,aorist indc
2369,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2379,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2383,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2393,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2398,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
2411,ἀπέθανεν,aorist,active,indc,3,sg,aorist indc
2413,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2420,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2424,εὐηρέστησεν,aorist,active,indc,3,sg,aorist indc
2437,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2442,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
2455,εὐηρέστησεν,aorist,active,indc,3,sg,aorist indc
2467,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2477,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2481,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2496,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2501,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
2514,ἀπέθανεν,aorist,active,indc,3,sg,aorist indc
2516,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2526,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2529,ἐπωνόμασεν,aorist,active,indc,3,sg,aorist indc
2550,ἔζησεν,aorist,active,indc,3,sg,aorist indc
2565,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2570,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
2583,ἀπέθανεν,aorist,active,indc,3,sg,aorist indc
2585,ἦν,imperfect,active,indc,3,sg,imperfect indc
2592,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2602,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
2618,ἰδόντες,aorist,active,ptcp,,pl,aorist ptcp
2630,ἔλαβον,aorist,active,indc,3,pl,aorist indc
2638,εἶπεν,aorist,active,indc,3,sg,aorist indc
2697,ἰδὼν,aorist,active,ptcp,,sg,aorist ptcp
2718,ἐνεθυμήθη,aorist,passsive,indc,3,sg,aorist indc
2729,διενοήθη,aorist,passsive,indc,3,sg,aorist indc
2733,εἶπεν,aorist,active,indc,3,sg,aorist indc
2784,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
2796,ἐφθάρη,aorist,passsive,indc,3,sg,aorist indc
2804,ἐπλήσθη,aorist,passsive,indc,3,sg,aorist indc
2809,εἶδεν,aorist,active,indc,3,sg,aorist indc
2827,εἶπεν,aorist,active,indc,3,sg,aorist indc
3028,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
