bhsa_node,french_tense
33,
38,passé_simp
41,
49,
59,passé_simp
72,
75,passé_simp
80,
96,passé_simp
102,
123,
126,passé_simp
133,
136,passé_simp
141,
158,
161,passé_simp
175,
180,
202,
205,passé_simp
224,
229,
232,passé_simp
237,
280,
283,passé_simp
315,passé_simp
348,
353,
356,passé_simp
361,
381,passé_simp
410,
415,passé_simp
439,
442,passé_simp
447,
465,
468,passé_simp
491,
496,
535,passé_simp
553,
557,
591,
652,
655,
666,
669,passé_simp
675,
685,
696,passé_simp
708,passé_simp
715,
792,passé_simp
803,passé_simp
809,passé_simp
816,
825,passé_simp
833,passé_simp
946,passé_simp
953,passé_simp
963,passé_simp
997,
1013,passé_simp
1030,passé_simp
1051,passé_simp
1079,passé_simp
1087,
1089,passé_simp
1094,passé_simp
1098,passé_simp
1112,passé_simp
1117,
1158,
1183,
1199,
1233,
1262,
1285,passé_simp
1289,passé_simp
1291,passé_simp
1297,
1299,passé_simp
1303,passé_simp
1308,
1312,
1316,imparfait
1330,passé_simp
1345,passé_simp
1352,
1356,
1364,passé_comp
1369,
1371,
1390,
1405,passé_comp
1407,
1417,
1424,passé_comp
1426,
1508,passé_comp
1563,passé_simp
1576,passé_simp
1587,passé_simp
1589,
1623,passé_simp
1639,
1644,
1675,
1677,passé_simp
1681,
1687,
1695,passé_simp
1705,
1710,passé_simp
1731,passé_simp
1747,
1752,
1755,
1788,passé_simp
1794,
1801,passé_simp
1807,passé_simp
1809,
1817,
1825,
1872,
1908,
1918,passé_simp
1930,passé_simp
1937,passé_simp
1944,passé_simp
1949,
1951,passé_simp
1955,
1959,passé_simp
1968,
1989,passé_simp
2004,passé_simp
2045,
2077,passé_simp
2083,passé_simp
2086,passé_simp
2109,passé_simp
2139,
2142,passé_simp
2150,passé_simp
2157,
2163,passé_simp
2168,
2179,
2184,
2197,passé_simp
2199,passé_simp
2207,
2211,passé_simp
2224,
2229,
2241,passé_simp
2243,passé_simp
2248,
2252,passé_simp
2266,
2271,
2282,passé_simp
2284,passé_simp
2289,
2293,passé_simp
2306,
2311,
2322,passé_simp
2324,passé_simp
2332,
2336,passé_simp
2349,
2354,
2367,passé_simp
2369,passé_simp
2379,
2383,passé_simp
2393,
2398,
2411,passé_simp
2413,passé_simp
2420,
2424,passé_simp
2437,
2442,
2455,passé_simp
2467,passé_simp
2477,
2481,passé_simp
2496,
2501,
2514,passé_simp
2516,passé_simp
2526,
2529,passé_simp
2550,passé_simp
2565,
2570,
2583,passé_simp
2585,passé_simp
2592,
2602,
2618,passé_simp
2630,passé_simp
2638,
2697,
2718,imparfait
2729,
2733,
