niv_TAM,Main,SubAdv,SubMod,SubArg
FUT,4059,536,107,64
PRES,1838,867,380,69
IMPV do not,779,9,1,3
MOD may,566,112,13,5
IMPV,630,24,2,1
MOD let,641,13,0,0
PAST,484,86,47,8
MOD can,352,74,38,11
MOD must,426,18,3,2
MOD is to,286,14,31,5
TO INF,211,49,12,34
PRES PART,157,36,20,5
MOD would,168,29,7,14
PRES do not,128,71,12,3
MOD shall,195,15,1,0
PRES PERF,70,54,21,4
MOD should,94,26,13,10
FUT question,87,13,1,0
PRES wh-question,71,4,0,0
PRES question,66,9,0,0
MOD could,39,16,14,3
MOD quest can,37,10,1,0
MOD might,12,14,2,2
MOD quest should,24,6,0,0
PAST did not,28,1,1,0
MOD quest shall,26,0,0,0
PRES PROG,9,6,4,1
FUT wh-question,19,0,0,0
MOD was to,10,2,5,1
MOD quest would,16,1,0,0
PAST PERF,12,1,3,1
FUT going-to,13,2,0,1
MOD lest,2,9,0,0
PAST PROG,4,3,2,0
HAB used to,6,0,1,2
MOD VB,3,3,0,0
PRES do-support,2,4,0,0
PRES PERF wh-question,6,0,0,0
PAST wh-question,6,0,0,0
PRES PERF question,5,0,0,0
MOD need not,4,0,1,0
MOD quest must,4,0,0,0
MOD that be,3,0,0,0
PAST question,3,0,0,0
MOD quest could,2,1,0,0
FUT PROG,1,2,0,0
FUT PERF,2,0,0,0
JJ,1,0,0,0
PAST do-support,0,1,0,0
VB,1,0,0,0
