niv_TAM,Main,SubAdv,SubMod,SubArg
FUT,0.09,-0.05,-0.04,-0.01
PRES,-0.26,0.16,0.09,0.01
IMPV do not,0.21,-0.14,-0.05,-0.01
MOD may,0.03,0.02,-0.03,-0.01
IMPV,0.18,-0.11,-0.05,-0.02
MOD let,0.2,-0.13,-0.05,-0.02
PAST,-0.01,-0.01,0.03,-0.0
MOD can,-0.05,0.01,0.03,0.01
MOD must,0.17,-0.11,-0.05,-0.01
MOD is to,0.07,-0.11,0.04,-0.0
TO INF,-0.1,0.02,-0.01,0.1
PRES PART,-0.07,0.02,0.04,0.01
MOD would,-0.02,-0.01,-0.02,0.05
PRES do not,-0.19,0.19,0.01,-0.0
MOD shall,0.14,-0.08,-0.05,-0.02
PRES PERF,-0.32,0.22,0.09,0.01
MOD should,-0.13,0.04,0.04,0.05
FUT question,0.07,-0.02,-0.04,-0.02
PRES wh-question,0.16,-0.09,-0.05,-0.02
PRES question,0.09,-0.03,-0.05,-0.02
MOD could,-0.25,0.08,0.14,0.02
MOD quest can,-0.02,0.06,-0.03,-0.02
MOD might,-0.39,0.32,0.02,0.05
MOD quest should,0.01,0.05,-0.05,-0.02
PAST did not,0.15,-0.11,-0.02,-0.02
MOD quest shall,0.21,-0.15,-0.05,-0.02
PRES PROG,-0.34,0.15,0.15,0.03
FUT wh-question,0.21,-0.15,-0.05,-0.02
MOD was to,-0.23,-0.03,0.23,0.04
MOD quest would,0.15,-0.09,-0.05,-0.02
PAST PERF,-0.08,-0.09,0.13,0.04
FUT going-to,0.03,-0.02,-0.05,0.05
MOD lest,-0.61,0.67,-0.05,-0.02
PAST PROG,-0.34,0.19,0.17,-0.02
HAB used to,-0.12,-0.15,0.06,0.21
MOD VB,-0.29,0.35,-0.05,-0.02
PRES do-support,-0.45,0.52,-0.05,-0.02
PRES PERF wh-question,0.21,-0.15,-0.05,-0.02
PAST wh-question,0.21,-0.15,-0.05,-0.02
PRES PERF question,0.21,-0.15,-0.05,-0.02
MOD need not,0.01,-0.15,0.15,-0.02
MOD quest must,0.21,-0.15,-0.05,-0.02
MOD that be,0.21,-0.15,-0.05,-0.02
PAST question,0.21,-0.15,-0.05,-0.02
MOD quest could,-0.12,0.19,-0.05,-0.02
FUT PROG,-0.45,0.52,-0.05,-0.02
FUT PERF,0.21,-0.15,-0.05,-0.02
JJ,0.21,-0.15,-0.05,-0.02
PAST do-support,-0.79,0.85,-0.05,-0.02
VB,0.21,-0.15,-0.05,-0.02
