,Main,SubAdv,SubMod,SubArg
FUT,40.68,-14.69,-29.57,-1.62
PRES,-196.88,105.34,74.76,1.72
IMPV do not,63.7,-41.53,-16.39,-3.01
MOD may,1.02,0.65,-4.77,-1.32
IMPV,36.54,-19.86,-12.04,-3.57
MOD let,49.71,-28.27,-14.65,-4.55
PAST,-0.37,-0.19,2.19,-0.28
MOD can,-1.85,0.29,2.28,0.56
MOD must,21.37,-12.63,-6.57,-1.42
MOD is to,2.44,-9.07,2.86,0.0
TO INF,-4.28,0.34,-0.37,17.75
PRES PART,-1.72,0.42,1.95,0.37
MOD would,-0.25,-0.16,-0.56,4.69
PRES do not,-9.47,11.29,0.2,0.0
MOD shall,7.02,-2.95,-3.43,-1.27
PRES PERF,-16.93,10.49,4.74,0.49
MOD should,-3.54,0.64,1.47,3.8
FUT question,1.06,-0.11,-1.19,-0.38
PRES wh-question,3.71,-1.69,-1.48,-0.19
PRES question,1.32,-0.2,-1.48,-0.19
MOD could,-5.48,1.04,4.93,0.91
MOD quest can,-0.14,0.66,-0.29,0.0
MOD might,-5.35,4.58,0.18,1.04
MOD quest should,-0.0,0.36,-0.4,0.0
PAST did not,1.16,-0.94,0.0,0.0
MOD quest shall,2.51,-1.6,-0.19,0.0
PRES PROG,-3.02,1.23,1.79,0.54
FUT wh-question,1.68,-1.01,-0.21,0.0
MOD was to,-1.44,0.0,2.8,0.58
MOD quest would,0.83,-0.3,0.0,0.0
PAST PERF,-0.42,-0.3,1.29,0.6
FUT going-to,-0.0,0.0,0.0,0.62
MOD lest,-4.5,5.93,0.0,0.0
PAST PROG,-1.6,0.88,1.14,0.0
HAB used to,-0.39,-0.43,0.43,2.02
MOD VB,-0.94,1.36,0.0,0.0
PRES do-support,-1.68,2.28,0.0,0.0
PRES PERF wh-question,0.45,-0.22,0.0,0.0
PAST wh-question,0.45,-0.22,0.0,0.0
PRES PERF question,0.23,0.0,0.0,0.0
MOD need not,-0.0,0.0,0.64,0.0
MOD quest must,0.23,0.0,0.0,0.0
MOD that be,-0.0,0.0,0.0,0.0
PAST question,-0.0,0.0,0.0,0.0
MOD quest could,-0.29,0.43,0.0,0.0
FUT PROG,-0.93,1.24,0.0,0.0
FUT PERF,-0.0,0.0,0.0,0.0
JJ,-0.0,0.0,0.0,0.0
PAST do-support,-0.67,0.84,0.0,0.0
VB,-0.0,0.0,0.0,0.0
