eng_TAMsimp,imparfait,passé_comp,passé_simp
PAST,0.03,-0.17,0.14
PRES,-0.44,0.43,0.01
FUT,0.06,0.09,-0.15
FUT ~ MOD shall,-0.15,0.15,-0.0
MOD would,0.49,-0.35,-0.14
PAST ~ PRES,0.13,-0.03,-0.1
MOD would ~ PAST,0.44,-0.35,-0.09
PRES PERF,-0.47,0.61,-0.14
MOD could,0.42,-0.34,-0.07
PAST ~ PRES PART,0.08,-0.14,0.06
FUT ~ PRES,-0.22,0.21,0.01
PAST ~ PRES PERF,-0.06,0.21,-0.14
MOD should,0.48,-0.34,-0.14
HAB used to ~ PAST,0.38,-0.34,-0.04
PRES ~ PRES PERF,-0.42,0.45,-0.03
FUT ~ MOD would,0.35,-0.34,-0.02
IMPV ~ MOD shall,0.48,-0.34,-0.14
MOD may,0.48,-0.34,-0.14
MOD should ~ MOD was to,0.48,-0.34,-0.14
PRES ~ TO INF,-0.53,-0.34,0.87
FUT ~ MOD may,-0.02,-0.0,0.03
PAST ~ PAST PROG,-0.02,-0.0,0.03
MOD was to ~ PAST,0.28,-0.34,0.06
IMPV ~ PRES,-0.33,0.47,-0.14
MOD can,0.48,-0.34,-0.14
MOD may ~ PRES,0.08,0.06,-0.14
PRES PART,0.23,-0.34,0.11
MOD shall,0.48,-0.34,-0.14
IMPV,0.48,-0.34,-0.14
MOD lest ~ PRES,0.48,-0.34,-0.14
HAB used to,-0.19,-0.34,0.53
PAST PROG,0.48,-0.34,-0.14
MOD was to,0.48,-0.34,-0.14
MOD let ~ PRES,0.14,-0.0,-0.14
MOD can ~ PAST,-0.53,0.67,-0.14
MOD is to ~ MOD shall,-0.53,0.16,0.36
FUT ~ PAST,-0.53,0.16,0.36
MOD can ~ MOD could,0.48,-0.34,-0.14
MOD might ~ PAST,-0.53,0.67,-0.14
?VB ~ PAST,0.48,-0.34,-0.14
MOD should ~ PAST,0.48,-0.34,-0.14
PAST ~ TO INF,0.48,-0.34,-0.14
MOD should ~ MOD would,0.48,-0.34,-0.14
MOD shall ~ PRES,-0.02,0.16,-0.14
PAST PERF,-0.02,0.16,-0.14
PAST ~ PAST PERF,-0.02,0.16,-0.14
PAST PERF ~ PRES,-0.53,0.67,-0.14
PRES ~ PRES PART,-0.02,0.16,-0.14
MOD should ~ PRES,0.48,-0.34,-0.14
PRES PART ~ TO INF,-0.52,-0.34,0.86
PAST PROG ~ PRES PART,0.48,-0.34,-0.14
FUT ~ PRES PERF,-0.52,0.66,-0.14
MOD VB ~ MOD may,0.48,-0.34,-0.14
HAB used to ~ MOD would,0.48,-0.34,-0.14
MOD would ~ PRES PART,0.48,-0.34,-0.14
FUT ~ MOD lest,0.48,-0.34,-0.14
MOD would ~ PRES,0.48,-0.34,-0.14
PRES ~ PRES PROG,-0.52,0.66,-0.14
MOD should ~ TO INF,0.48,-0.34,-0.14
JJ ~ PRES,-0.52,0.66,-0.14
MOD might ~ MOD would,0.48,-0.34,-0.14
MOD may ~ PAST,-0.52,0.66,-0.14
MOD can ~ MOD shall,0.48,-0.34,-0.14
MOD can ~ PRES,-0.52,0.66,-0.14
MOD could ~ MOD might,0.48,-0.34,-0.14
MOD could ~ MOD would,0.48,-0.34,-0.14
MOD could ~ PAST,0.48,-0.34,-0.14
MOD could ~ PRES PERF,0.48,-0.34,-0.14
MOD could ~ TO INF,0.48,-0.34,-0.14
MOD shall ~ PAST,0.48,-0.34,-0.14
MOD lest,0.48,-0.34,-0.14
MOD lest ~ MOD would,0.48,-0.34,-0.14
MOD shall ~ MOD should,0.48,-0.34,-0.14
MOD let ~ PAST,0.48,-0.34,-0.14
MOD must,-0.52,0.66,-0.14
MOD might ~ PRES PERF,-0.52,0.66,-0.14
TO INF,-0.52,0.66,-0.14
