french_tense,PAST,PRES,FUT,FUT ~ MOD shall,MOD would,PAST ~ PRES,MOD would ~ PAST,PRES PERF,MOD could,PAST ~ PRES PART,FUT ~ PRES,PAST ~ PRES PERF,MOD should,HAB used to ~ PAST,PRES ~ PRES PERF,FUT ~ MOD would,IMPV ~ MOD shall,MOD may,MOD should ~ MOD was to,PRES ~ TO INF,FUT ~ MOD may,PAST ~ PAST PROG,MOD was to ~ PAST,IMPV ~ PRES,MOD can,MOD may ~ PRES,PRES PART,MOD shall,IMPV,MOD lest ~ PRES,HAB used to,PAST PROG,MOD was to,MOD let ~ PRES,MOD can ~ PAST,MOD is to ~ MOD shall,FUT ~ PAST,MOD can ~ MOD could,MOD might ~ PAST,?VB ~ PAST,MOD should ~ PAST,PAST ~ TO INF,MOD should ~ MOD would,MOD shall ~ PRES,PAST PERF,PAST ~ PAST PERF,PAST PERF ~ PRES,PRES ~ PRES PART,MOD should ~ PRES,PRES PART ~ TO INF,PAST PROG ~ PRES PART,FUT ~ PRES PERF,MOD VB ~ MOD may,HAB used to ~ MOD would,MOD would ~ PRES PART,FUT ~ MOD lest,MOD would ~ PRES,PRES ~ PRES PROG,MOD should ~ TO INF,JJ ~ PRES,MOD might ~ MOD would,MOD may ~ PAST,MOD can ~ MOD shall,MOD can ~ PRES,MOD could ~ MOD might,MOD could ~ MOD would,MOD could ~ PAST,MOD could ~ PRES PERF,MOD could ~ TO INF,MOD shall ~ PAST,MOD lest,MOD lest ~ MOD would,MOD shall ~ MOD should,MOD let ~ PAST,MOD must,MOD might ~ PRES PERF,TO INF
imparfait,0.03,-0.28,0.01,-0.02,0.07,0.02,0.05,-0.04,0.03,0.01,-0.01,-0.0,0.03,0.02,-0.02,0.01,0.02,0.02,0.01,-0.02,-0.0,-0.0,0.01,-0.01,0.01,0.0,0.0,0.01,0.01,0.01,-0.0,0.01,0.01,0.0,-0.01,-0.01,-0.01,0.0,-0.01,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.01,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
passé_comp,-0.16,0.3,0.02,0.02,-0.05,-0.0,-0.04,0.06,-0.03,-0.01,0.02,0.02,-0.02,-0.02,0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.01,0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,0.01,0.0,0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.01,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
passé_simp,0.24,0.02,-0.05,-0.0,-0.04,-0.03,-0.02,-0.02,-0.01,0.01,0.0,-0.02,-0.02,-0.0,-0.0,-0.0,-0.01,-0.01,-0.01,0.06,0.0,0.0,0.0,-0.01,-0.01,-0.01,0.0,-0.01,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
