french_tense,TOTAL,PAST,PRES,FUT,FUT ~ MOD shall,MOD would,PAST ~ PRES,MOD would ~ PAST,PRES PERF,MOD could,PAST ~ PRES PART,FUT ~ PRES,PAST ~ PRES PERF,MOD should,HAB used to ~ PAST,PRES ~ PRES PERF,FUT ~ MOD would,IMPV ~ MOD shall,MOD may,MOD should ~ MOD was to,PRES ~ TO INF,FUT ~ MOD may,PAST ~ PAST PROG,MOD was to ~ PAST,IMPV ~ PRES,MOD can,MOD may ~ PRES,PRES PART,MOD shall,IMPV,MOD lest ~ PRES,HAB used to,PAST PROG,MOD was to,MOD let ~ PRES,MOD can ~ PAST,MOD is to ~ MOD shall,FUT ~ PAST,MOD can ~ MOD could,MOD might ~ PAST,?VB ~ PAST,MOD should ~ PAST,PAST ~ TO INF,MOD should ~ MOD would,MOD shall ~ PRES,PAST PERF,PAST ~ PAST PERF,PAST PERF ~ PRES,PRES ~ PRES PART,MOD should ~ PRES,PRES PART ~ TO INF,PAST PROG ~ PRES PART,FUT ~ PRES PERF,MOD VB ~ MOD may,HAB used to ~ MOD would,MOD would ~ PRES PART,FUT ~ MOD lest,MOD would ~ PRES,PRES ~ PRES PROG,MOD should ~ TO INF,JJ ~ PRES,MOD might ~ MOD would,MOD may ~ PAST,MOD can ~ MOD shall,MOD can ~ PRES,MOD could ~ MOD might,MOD could ~ MOD would,MOD could ~ PAST,MOD could ~ PRES PERF,MOD could ~ TO INF,MOD shall ~ PAST,MOD lest,MOD lest ~ MOD would,MOD shall ~ MOD should,MOD let ~ PAST,MOD must,MOD might ~ PRES PERF,TO INF
imparfait,401,124,26,18,11,27,17,20,1,14,9,4,6,11,9,1,7,7,7,6,0,3,3,4,1,5,3,3,4,3,3,1,3,3,2,0,0,0,2,0,2,2,2,2,1,1,1,0,1,2,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
passé_comp,257,49,103,13,14,0,8,0,15,0,3,7,7,0,0,7,0,0,0,0,0,2,2,0,4,0,2,0,0,0,0,0,0,0,1,2,1,1,0,2,0,0,0,0,1,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
passé_simp,107,54,23,0,4,0,1,1,0,1,3,2,0,0,1,1,1,0,0,0,6,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
