,sum
PAST..IND,5168
PRES.PERF.IND,3408
PRES..IND,2569
PAST.PERF.IND,1003
PRES..MOD,135
PAST..SUBJ,92
FUT..IND,86
PRES..,75
PAST.PROG.IND,28
PRES.PROG.IND,20
..,14
PRES.PERF_PROG.IND,5
FUT.PERF.IND,4
past.PERF_PROG.IND,2
