eng_TAMsimp,prose,prophetic,poetry,list,instruction
PAST,0.26,-0.13,-0.14,0.01,0.01
PAST ~ PRES PART,0.05,-0.02,-0.02,-0.01,-0.01
PRES,-0.7,0.28,0.45,-0.02,-0.02
PAST ~ PAST PERF,0.05,-0.02,-0.04,0.01,-0.01
PRES PERF,-0.24,0.12,0.13,-0.02,0.01
PAST ~ PRES PERF,-0.34,0.26,0.11,-0.03,-0.01
PAST ~ PRES,-0.44,0.2,0.2,-0.02,0.05
PAST ~ TO INF,0.07,-0.01,-0.03,-0.03,0.0
PAST PERF,-0.05,-0.05,-0.03,0.15,-0.02
PRES ~ PRES PERF,-0.62,0.29,0.36,-0.0,-0.02
PAST ~ PAST PROG,0.07,-0.01,-0.05,0.01,-0.02
PRES PART,0.03,0.07,-0.05,-0.03,-0.02
FUT ~ PRES,-0.82,0.41,0.4,-0.03,0.03
MOD would,-0.15,0.08,0.12,-0.03,-0.02
MOD could ~ PAST,0.09,0.0,-0.05,-0.03,-0.02
TO INF,-0.22,0.11,0.15,-0.03,-0.02
FUT ~ PAST,-0.82,0.54,0.33,-0.03,-0.02
MOD let ~ PAST,-0.15,0.08,0.12,-0.03,-0.02
PRES ~ PRES PART,-0.82,0.24,0.62,-0.03,-0.02
PRES ~ TO INF,-0.82,0.31,0.55,-0.03,-0.02
PRES PART ~ PRES PERF,-0.42,0.31,-0.05,-0.03,0.18
PAST PROG,0.18,-0.09,-0.05,-0.03,-0.02
PRES ~ PRES PROG,-0.02,0.11,-0.05,-0.03,-0.02
MOD would ~ PAST,-0.02,-0.09,0.15,-0.03,-0.02
IMPV ~ PAST,-0.02,0.11,-0.05,-0.03,-0.02
FUT ~ PRES PERF,-0.82,0.51,0.35,-0.03,-0.02
PAST PERF ~ PRES PERF,-0.07,-0.09,0.2,-0.03,-0.02
PAST PERF ~ PRES PART,0.18,-0.09,-0.05,-0.03,-0.02
PRES PERF ~ TO INF,-0.48,0.24,0.29,-0.03,-0.02
PAST ~ VB,-0.15,-0.09,-0.05,0.31,-0.02
MOD let,0.18,-0.09,-0.05,-0.03,-0.02
FUT ~ MOD shall,-0.82,0.58,0.29,-0.03,-0.02
FUT,-0.82,0.41,0.45,-0.03,-0.02
PRES PERF ~ PRES PROG,-0.32,0.41,-0.05,-0.03,-0.02
MOD may ~ PAST,-0.32,-0.09,0.45,-0.03,-0.02
MOD can ~ PRES,-0.82,0.41,0.45,-0.03,-0.02
PRES PERF PROG,0.18,-0.09,-0.05,-0.03,-0.02
MOD is to ~ PRES PERF,-0.82,0.91,-0.05,-0.03,-0.02
FUT ~ PRES PART,-0.82,0.91,-0.05,-0.03,-0.02
FUT ~ MOD would,-0.82,-0.09,0.95,-0.03,-0.02
PRES PART ~ TO INF,0.18,-0.09,-0.05,-0.03,-0.02
IMPV ~ PRES,-0.82,-0.09,0.95,-0.03,-0.02
IMPV ~ PRES PART,-0.82,-0.09,-0.05,0.97,-0.02
MOD can ~ PAST,-0.82,-0.09,0.95,-0.03,-0.02
MOD could ~ MOD might,0.18,-0.09,-0.05,-0.03,-0.02
MOD might ~ PRES PERF,-0.82,0.91,-0.05,-0.03,-0.02
PAST ~ PAST PERF PROG,0.18,-0.09,-0.05,-0.03,-0.02
MOD let ~ MOD may,-0.82,-0.09,0.95,-0.03,-0.02
MOD must ~ PAST,-0.82,-0.09,0.95,-0.03,-0.02
MOD let ~ PRES,0.18,-0.09,-0.05,-0.03,-0.02
PAST PROG ~ PRES PERF PROG,0.18,-0.09,-0.05,-0.03,-0.02
PAST PROG ~ PRES PERF,0.18,-0.09,-0.05,-0.03,-0.02
PAST PROG ~ PRES PART,0.18,-0.09,-0.05,-0.03,-0.02
MOD let ~ PRES PART,0.18,-0.09,-0.05,-0.03,-0.02
PAST PERF ~ TO INF,0.18,-0.09,-0.05,-0.03,-0.02
MOD may,-0.82,-0.09,0.95,-0.03,-0.02
MOD would ~ PRES,-0.82,-0.09,0.95,-0.03,-0.02
MOD may ~ PRES,-0.82,0.91,-0.05,-0.03,-0.02
MOD should ~ TO INF,0.18,-0.09,-0.05,-0.03,-0.02
MOD should ~ PRES,-0.82,-0.09,0.95,-0.03,-0.02
MOD should ~ MOD would,0.18,-0.09,-0.05,-0.03,-0.02
MOD must ~ PRES,-0.82,0.91,-0.05,-0.03,-0.02
??VB ~ PAST,0.18,-0.09,-0.05,-0.03,-0.02
