clause_rela,has_time,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Main,0,0.43,0.23,0.28,0.03,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,0,0.35,0.31,0.22,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,0,0.46,0.24,0.07,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,1,0.7,0.15,0.09,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubArg,0,0.3,0.31,0.08,0.29,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0
SubAdv,1,0.33,0.32,0.13,0.09,0.01,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01
SubMod,1,0.63,0.21,0.0,0.14,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
SubArg,1,0.44,0.44,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
