clause_rela,Main,SubAdv,SubMod,Main,SubArg,SubAdv,SubMod,SubArg
has_time,0,0,0,1,0,1,1,1
eng_TAM,,,,,,,,
PAST..IND,0.0,-0.06,0.02,0.05,-0.02,-0.0,0.0,0.0
PRES.PERF.IND,-0.05,0.06,-0.0,-0.02,0.01,0.0,-0.0,0.0
PRES..IND,0.21,0.0,-0.14,-0.03,-0.03,-0.0,-0.01,-0.0
PAST.PERF.IND,-0.41,0.05,0.28,-0.03,0.09,0.0,0.0,-0.0
FUT..IND,0.19,-0.05,-0.16,0.04,-0.02,0.01,-0.01,-0.0
PAST..SUBJ,0.22,-0.13,-0.12,-0.03,-0.03,0.09,-0.01,-0.0
PRES..MOD,0.16,-0.03,-0.13,-0.03,0.0,0.03,-0.01,-0.0
PRES..,0.03,0.07,-0.04,-0.04,-0.03,-0.01,0.03,-0.0
PRES.PROG.IND,0.15,-0.12,-0.05,-0.04,0.08,-0.01,-0.01,-0.0
PAST.PROG.IND,0.05,0.05,-0.16,-0.04,0.12,-0.01,-0.01,-0.0
..,0.03,0.02,-0.16,-0.04,0.17,-0.01,-0.01,-0.0
past.PERF_PROG.IND,-0.57,-0.18,0.84,-0.04,-0.03,-0.01,-0.01,-0.0
FUT.PERF.IND,0.43,-0.18,-0.16,-0.04,-0.03,-0.01,-0.01,-0.0
PRES.PERF_PROG.IND,-0.57,-0.18,-0.16,-0.04,-0.03,0.99,-0.01,-0.0
