clause_rela,Main,SubAdv,SubMod,Main,SubArg,SubAdv,SubMod,SubArg
has_time,0,0,0,1,0,1,1,1
eng_TAM,,,,,,,,
PAST..IND,0.57,0.14,0.18,0.07,0.02,0.01,0.01,0.0
PRES.PERF.IND,0.53,0.22,0.16,0.03,0.04,0.01,0.01,0.0
PRES..IND,0.73,0.18,0.05,0.02,0.01,0.0,0.0,0.0
PAST.PERF.IND,0.2,0.22,0.42,0.02,0.12,0.01,0.01,0.0
FUT..IND,0.75,0.13,0.0,0.09,0.01,0.01,0.0,0.0
PAST..SUBJ,0.79,0.05,0.05,0.02,0.0,0.1,0.0,0.0
PRES..MOD,0.73,0.15,0.04,0.02,0.04,0.04,0.0,0.0
PRES..,0.59,0.25,0.12,0.0,0.0,0.0,0.03,0.0
PRES.PROG.IND,0.72,0.06,0.11,0.0,0.11,0.0,0.0,0.0
PAST.PROG.IND,0.62,0.23,0.0,0.0,0.15,0.0,0.0,0.0
..,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
