eng_TAM,sum
PAST..IND,3734
PRES.PERF.IND,2219
PRES..IND,2013
PAST.PERF.IND,757
FUT..IND,66
PAST..SUBJ,60
PRES..MOD,52
PRES..,31
PRES.PROG.IND,18
PAST.PROG.IND,13
..,5
FUT.PERF.IND,2
past.PERF_PROG.IND,2
PRES.PERF_PROG.IND,1
