eng_TAM,prose,prophetic,poetry,instruction,list
PAST..IND,2472,703,559,150,232
PRES.PERF.IND,1031,720,468,127,8
PRES..IND,350,940,723,48,1
PAST.PERF.IND,654,73,30,8,17
FUT..IND,11,45,10,3,0
PAST..SUBJ,37,8,15,1,1
PRES..MOD,36,7,9,0,3
PRES..,10,12,9,0,1
PRES.PROG.IND,12,5,1,0,0
PAST.PROG.IND,12,1,0,0,0
..,3,2,0,0,0
past.PERF_PROG.IND,2,0,0,0,0
FUT.PERF.IND,0,2,0,0,0
PRES.PERF_PROG.IND,1,0,0,0,0
