,prose,prophetic,poetry,instruction,list
PAST..IND,2.3,0.41,0.52,1.07,10.46
PRES.PERF.IND,0.78,1.33,1.07,1.9,0.09
PRES..IND,0.15,3.15,3.14,0.6,0.01
PAST.PERF.IND,6.18,0.27,0.16,0.27,0.77
FUT..IND,0.2,5.33,0.72,1.25,0.0
PAST..SUBJ,1.58,0.41,1.36,0.45,0.58
PRES..MOD,2.03,0.41,0.83,0.0,2.05
PRES..,0.48,1.68,1.67,0.0,1.14
PRES.PROG.IND,2.14,1.08,0.25,0.0,0.0
PAST.PROG.IND,12.84,0.23,0.0,0.0,0.0
..,1.6,1.87,0.0,0.0,0.0
past.PERF_PROG.IND,inf,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,inf,0.0,0.0,0.0
PRES.PERF_PROG.IND,inf,0.0,0.0,0.0,0.0
