,prose,prophetic,poetry
PAST..IND,121.31,-61.72,-26.28
PRES.PERF.IND,-7.63,6.78,0.52
PRES..IND,-282.33,92.11,78.25
PAST.PERF.IND,97.9,-37.3,-41.03
FUT..IND,-8.21,10.89,-0.45
PAST..SUBJ,0.91,-2.04,0.47
PRES..MOD,1.93,-1.71,-0.14
PRES..,-1.34,0.64,0.58
PRES.PROG.IND,0.62,0.0,-0.83
PAST.PROG.IND,2.44,-0.89,-1.07
..,-0.0,0.2,-0.23
past.PERF_PROG.IND,0.3,0.0,0.0
FUT.PERF.IND,-0.63,1.1,0.0
PRES.PERF_PROG.IND,-0.0,0.0,0.0
