eng_TAM,prose,prophetic,poetry,instruction,list
PAST..IND,0.2,-0.16,-0.1,0.0,0.05
PRES.PERF.IND,-0.06,0.06,0.01,0.02,-0.03
PRES..IND,-0.4,0.25,0.2,-0.02,-0.03
PAST.PERF.IND,0.38,-0.18,-0.17,-0.03,-0.01
FUT..IND,-0.33,0.39,-0.05,0.01,-0.03
PAST..SUBJ,0.11,-0.13,0.05,-0.02,-0.01
PRES..MOD,0.17,-0.14,-0.03,-0.04,0.03
PRES..,-0.17,0.11,0.09,-0.04,0.0
PRES.PROG.IND,0.18,0.01,-0.14,-0.04,-0.03
PAST.PROG.IND,0.44,-0.19,-0.19,-0.04,-0.03
..,0.12,0.14,-0.19,-0.04,-0.03
past.PERF_PROG.IND,0.52,-0.26,-0.19,-0.04,-0.03
FUT.PERF.IND,-0.48,0.74,-0.19,-0.04,-0.03
PRES.PERF_PROG.IND,0.52,-0.26,-0.19,-0.04,-0.03
