eng_TAM,prose,prophetic,poetry
PAST..IND,0.51,4.31,5.68
PRES.PERF.IND,1.15,2.08,3.74
PRES..IND,4.75,1.14,1.78
PAST.PERF.IND,0.16,9.37,24.23
FUT..IND,5.0,0.47,5.6
PAST..SUBJ,0.62,6.5,3.0
PRES..MOD,0.44,6.43,4.78
PRES..,2.1,1.58,2.44
PRES.PROG.IND,0.5,2.6,17.0
PAST.PROG.IND,0.08,12.0,inf
..,0.67,1.5,inf
past.PERF_PROG.IND,0.0,inf,inf
FUT.PERF.IND,inf,0.0,inf
PRES.PERF_PROG.IND,0.0,inf,inf
