eng_TAM,p3,p1,p2
PAST..IND,0.8,0.13,0.07
PRES.PERF.IND,0.51,0.26,0.22
PRES..IND,0.78,0.16,0.05
PAST.PERF.IND,0.88,0.07,0.05
FUT..IND,0.54,0.39,0.07
PAST..SUBJ,0.66,0.23,0.11
PRES..MOD,0.91,0.05,0.04
PRES..,0.88,0.09,0.03
PRES.PROG.IND,0.67,0.17,0.17
PAST.PROG.IND,0.85,0.15,0.0
..,1.0,0.0,0.0
past.PERF_PROG.IND,1.0,0.0,0.0
FUT.PERF.IND,0.0,0.0,1.0
PRES.PERF_PROG.IND,0.0,1.0,0.0
