eng_TAM,Main,SubAdv,SubMod,SubArg
PAST..IND,0.64,0.15,0.18,0.03
PRES.PERF.IND,0.56,0.23,0.17,0.04
PRES..IND,0.75,0.18,0.05,0.01
PAST.PERF.IND,0.21,0.23,0.43,0.12
FUT..IND,0.84,0.14,0.0,0.01
PAST..SUBJ,0.81,0.15,0.05,0.0
PRES..MOD,0.75,0.18,0.04,0.04
PRES..,0.59,0.25,0.16,0.0
PRES.PROG.IND,0.72,0.06,0.11,0.11
PAST.PROG.IND,0.62,0.23,0.0,0.15
..,0.6,0.2,0.0,0.2
past.PERF_PROG.IND,0.0,0.0,1.0,0.0
FUT.PERF.IND,1.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.0,1.0,0.0,0.0
