eng_TAM,Main,SubAdv,SubMod,SubArg
PAST..IND,0.05,-0.06,0.03,-0.02
PRES.PERF.IND,-0.07,0.06,-0.0,0.01
PRES..IND,0.18,-0.0,-0.15,-0.03
PAST.PERF.IND,-0.43,0.05,0.29,0.09
FUT..IND,0.23,-0.04,-0.17,-0.02
PAST..SUBJ,0.2,-0.04,-0.12,-0.04
PRES..MOD,0.13,-0.0,-0.13,0.0
PRES..,-0.02,0.07,-0.01,-0.04
PRES.PROG.IND,0.11,-0.13,-0.06,0.08
PAST.PROG.IND,0.0,0.05,-0.17,0.12
..,-0.01,0.02,-0.17,0.16
past.PERF_PROG.IND,-0.61,-0.18,0.83,-0.04
FUT.PERF.IND,0.39,-0.18,-0.17,-0.04
PRES.PERF_PROG.IND,-0.61,0.82,-0.17,-0.04
