bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_tm
143,συναχθήτω,aorist,passsive,impv,3,sg,aorist impv
154,ὀφθήτω,aorist,passsive,impv,3,sg,aorist impv
363,ἐξαγαγέτω,aorist,active,impv,3,sg,aorist impv
371,πετόμενα,present,middle,ptcp,,pl,present ptcp
498,ποιήσωμεν,aorist,active,subj,1,pl,aorist subj
505,ἀρχέτωσαν,present,active,impv,3,pl,present impv
619,ἔσται,future,middle,indc,3,sg,future indc
751,γενέσθαι,aorist,middle,infv,,,aorist infv
761,ἀνατεῖλαι,aorist,active,infv,,,aorist infv
780,ἀνέβαινεν,imperfect,active,indc,3,sg,imperfect indc
876,ἀφορίζεται,present,middle,indc,3,sg,present indc
977,φάγῃ,future,middle,indc,2,sg,future indc
987,φάγεσθε,future,middle,indc,2,pl,future indc
995,ἀποθανεῖσθε,future,middle,indc,2,pl,future indc
1007,ποιήσωμεν,aorist,active,subj,1,pl,aorist subj
1037,ἐκάλεσεν,aorist,active,indc,3,sg,aorist indc
1042,ἐκάλεσεν,aorist,active,indc,3,sg,aorist indc
1132,κληθήσεται,future,passsive,indc,3,sg,future indc
1141,καταλείψει,future,active,indc,3,sg,future indc
1167,ᾐσχύνοντο,imperfect,middle,indc,3,pl,imperfect indc
1192,φάγητε,aorist,active,subj,2,pl,aorist subj
1210,φαγόμεθα,future,middle,indc,1,pl,future indc
1224,φάγεσθε,future,middle,indc,2,pl,future indc
1228,ἅψησθε,aorist,middle,subj,2,pl,aorist subj
1231,ἀποθάνητε,aorist,active,subj,2,pl,aorist subj
1241,ἀποθανεῖσθε,future,middle,indc,2,pl,future indc
1449,πορεύσῃ,future,middle,indc,2,sg,future indc
1452,φάγῃ,future,middle,indc,2,sg,future indc
1458,θήσω,future,active,indc,1,sg,future indc
1471,τηρήσει,future,active,indc,3,sg,future indc
1475,τηρήσεις,future,active,indc,2,sg,future indc
1482,πληθυνῶ,future,active,indc,1,sg,future indc
1488,τέξῃ,future,middle,indc,2,sg,future indc
1496,κυριεύσει,future,active,indc,3,sg,future indc
1517,φαγεῖν,aorist,active,infv,,,aorist infv
1526,φάγῃ,future,middle,indc,2,sg,future indc
1534,ἀνατελεῖ,future,active,indc,3,sg,future indc
1545,φάγῃ,future,middle,indc,2,sg,future indc
1561,ἀπελεύσῃ,future,middle,indc,2,sg,future indc
1607,ἐκτείνῃ,aorist,active,subj,3,sg,aorist subj
1769,,,,,,,
1774,,,,,,,
1785,ἄρξεις,future,active,indc,2,sg,future indc
1855,ἐργᾷ,future,middle,indc,2,sg,future indc
1860,προσθήσει,future,active,indc,3,sg,future indc
1867,ἔσῃ,future,middle,indc,2,sg,future indc
1893,κρυβήσομαι,future,passsive,indc,1,sg,future indc
1906,ἀποκτενεῖ,future,active,indc,3,sg,future indc
1916,ἐκδικούμενα,present,middle,ptcp,,pl,present ptcp
2069,ἐκδεδίκηται,perfect,middle,indc,3,sg,perfect indc
2536,διαναπαύσει,future,active,indc,3,sg,future indc
2641,καταμείνῃ,aorist,active,subj,3,sg,aorist subj
2676,εἰσεπορεύοντο,imperfect,middle,indc,3,pl,imperfect indc
2735,ἀπαλείψω,future,active,indc,1,sg,future indc
2856,ποιήσεις,future,active,indc,2,sg,future indc
2874,ποιήσεις,future,active,indc,2,sg,future indc
2890,ποιήσεις,future,active,indc,2,sg,future indc
2897,συντελέσεις,future,active,indc,2,sg,future indc
2907,,,,,,,
2912,ποιήσεις,future,active,indc,2,sg,future indc
2941,τελευτήσει,future,active,indc,3,sg,future indc
2972,εἰσάξεις,future,active,indc,2,sg,future indc
2982,ἔσονται,future,middle,indc,3,pl,future indc
3004,εἰσελεύσονται,future,middle,indc,3,pl,future indc
3016,ἔδεσθε,future,middle,indc,2,pl,future indc
3068,εἰσάγαγε,aorist,active,impv,2,sg,aorist impv
3983,προσθήσω,future,active,indc,1,sg,future indc
4004,προσθήσω,future,active,indc,1,sg,future indc
4035,καταπαύσουσιν,future,active,indc,3,pl,future indc
4059,ἔσται,future,middle,indc,3,sg,future indc
4074,κινούμενα,present,middle,ptcp,,pl,present ptcp
4092,ἔσται,future,middle,indc,3,sg,future indc
4108,φάγεσθε,future,middle,indc,2,pl,future indc
4115,ἐκζητήσω,aorist,active,subj,1,sg,aorist subj
4120,ἐκζητήσω,aorist,active,subj,1,sg,aorist subj
4130,ἐκζητήσω,aorist,active,subj,1,sg,aorist subj
4143,ἐκχυθήσεται,future,passsive,indc,3,sg,future indc
4224,ἀποθανεῖται,future,middle,indc,3,sg,future indc
4234,ἔσται,future,middle,indc,3,sg,future indc
4313,ἔσται,future,middle,indc,3,sg,future indc
4486,ἔσται,future,middle,indc,3,sg,future indc
4505,κατοικησάτω,aorist,active,impv,3,sg,aorist impv
4652,ἐροῦσιν,future,active,indc,3,pl,future indc
5021,οἰκοδομήσωμεν,aorist,active,subj,1,pl,aorist subj
5032,ποιήσωμεν,aorist,active,subj,1,pl,aorist subj
