eng_TAM,prose,prophetic,poetry
PAST..IND,2472,703,559
PRES.PERF.IND,1031,720,468
PRES..IND,350,940,723
PAST.PERF.IND,654,73,30
FUT..IND,11,45,10
PAST..SUBJ,37,8,15
PRES..MOD,36,7,9
PRES..,10,12,9
PRES.PROG.IND,12,5,1
PAST.PROG.IND,12,1,0
..,3,2,0
past.PERF_PROG.IND,2,0,0
FUT.PERF.IND,0,2,0
PRES.PERF_PROG.IND,1,0,0
