genre,domain2,TOTAL,PRES,FUT,FUT ~ MOD shall,IMPV,MOD let,IMPV ~ MOD shall,PAST,FUT ~ PRES,MOD may,MOD must ~ MOD shall,MOD is to ~ MOD shall,MOD can,MOD shall,FUT ~ MOD may,MOD shall ~ PRES,IMPV ~ MOD let,MOD would,MOD let ~ MOD may,PAST ~ PRES,PRES ~ PRES PART,PRES ~ PRES PERF,MOD should,TO INF,FUT ~ MOD lest,MOD can ~ PRES,MOD can ~ MOD may,MOD may ~ PRES,FUT ~ MOD can,PRES PERF,IMPV ~ PRES,MOD may ~ MOD shall,PRES PART,MOD can ~ MOD shall,FUT ~ MOD would,MOD may ~ TO INF,MOD should ~ PRES,PRES ~ TO INF,MOD could,MOD must,MOD shall ~ TO INF,PAST ~ PRES PERF,IMPV ~ MOD may,FUT ~ MOD let,FUT ~ TO INF,MOD shall ~ MOD should,MOD let ~ PRES,MOD would ~ PAST,FUT ~ IMPV,MOD would ~ PRES,MOD let ~ TO INF,PAST ~ PRES PART,MOD shall ~ PRES PART,MOD must ~ PRES,MOD should ~ TO INF,FUT ~ PRES PART,FUT ~ PAST,MOD let ~ MOD shall,MOD lest ~ MOD may,PRES ~ PRES PROG,MOD let ~ MOD must,IMPV ~ MOD must,MOD lest ~ PRES,MOD should ~ MOD would,MOD shall ~ PAST,MOD might,PAST ~ TO INF,HAB used to ~ PAST,MOD let ~ PAST,MOD may ~ MOD must,FUT ~ MOD should,IMPV ~ MOD can,MOD let ~ MOD should,IMPV ~ MOD should,PAST ~ PAST PERF,IMPV ~ PRES PART,MOD is to,MOD is to ~ MOD let,MOD was to ~ PAST,IMPV ~ TO INF,MOD can ~ MOD could,MOD can ~ MOD should,MOD should ~ MOD was to,MOD can ~ MOD let,IMPV ~ PAST,MOD can ~ TO INF,MOD may ~ PRES PART,MOD might ~ MOD would,MOD lest,MOD could ~ MOD might,PRES PART ~ TO INF,FUT ~ MOD must,MOD could ~ MOD would,PAST PERF,MOD would ~ TO INF,MOD lest ~ MOD might,MOD can ~ PRES PART,MOD could ~ PAST,MOD is to ~ MOD may,FUT ~ PRES PERF,MOD shall ~ MOD would,MOD let ~ PRES PART,FUT going-to ~ MOD shall,FUT ~ FUT going-to,MOD might ~ TO INF,PAST ~ PAST PROG,MOD might ~ PAST,MOD might ~ MOD should,MOD let ~ MOD would,MOD was to,MOD lest ~ TO INF,MOD VB ~ MOD may,MOD is to ~ MOD must,FUT ~ PRES PROG,PAST PERF ~ PRES,MOD can ~ PAST,HAB used to,IMPV ~ MOD is to,MOD VB ~ PRES,PRES PERF ~ TO INF,FUT ~ MOD is to,IMPV ~ MOD lest,?VB ~ PAST,MOD let ~ PRES PERF,MOD should ~ PAST,MOD would ~ PRES PART,FUT PROG ~ PRES,FUT ~ MOD that be,PRES PART ~ PRES PERF,MOD may ~ PRES PERF,MOD may ~ PAST,MOD shall ~ PRES PERF,MOD may ~ MOD might,PAST PROG,MOD lest ~ MOD would,MOD can ~ MOD might,MOD need not ~ MOD shall,MOD could ~ MOD should,MOD is to ~ PRES PART,MOD could ~ MOD must,MOD should ~ PRES PERF,MOD let ~ MOD that be,MOD need not ~ PRES,PAST PROG ~ PRES,PRES ~ PRES do,MOD must ~ MOD should,MOD that be,MOD must ~ MOD quest must,MOD is to ~ PRES,PRES PROG,MOD lest ~ MOD let,MOD lest ~ MOD should,MOD is to ~ TO INF,MOD can ~ MOD must,MOD could ~ TO INF,MOD lest ~ MOD shall,FUT ~ MOD was to,MOD quest must,PRES PERF ~ PRES PROG,MOD quest must ~ MOD shall,MOD might ~ PRES PERF,PRES PART ~ PRES PROG,MOD must ~ TO INF,MOD must ~ PRES PART,FUT going-to ~ MOD lest,PRES ~ PRES shall,FUT PERF,FUT PERF ~ PRES,FUT PROG ~ MOD shall,MOD is to ~ MOD lest,FUT going-to ~ MOD is to,FUT going-to ~ MOD may,PRES ~ PRES can,MOD must ~ PRES shall,FUT ~ FUT PERF,FUT ~ FUT PROG,MOD must ~ PRES PROG,MOD could ~ PAST PERF,FUT ~ MOD,MOD could ~ PRES PERF,HAB used to ~ PRES,FUT ~ PRES shall,MOD may ~ MOD would,MOD would ~ PAST PROG,MOD lest ~ MOD must,MOD would ~ PAST PERF,MOD lest ~ MOD that be,MOD can ~ MOD lest,MOD ~ MOD let,MOD VB ~ TO INF,MOD that be ~ TO INF,MOD VB ~ MOD shall,MOD VB ~ MOD can,JJ ~ PRES,MOD let ~ MOD might,IMPV ~ PRES PERF,MOD ~ PRES,MOD should ~ PRES PART,MOD let ~ MOD that,IMPV ~ MOD need not,MOD could ~ MOD shall,MOD is to ~ MOD should,MOD let ~ VB,MOD is to ~ PRES PROG,IMPV ~ MOD,IMPV not ~ MOD must,PAST PROG ~ PRES PART,HAB used to ~ PRES PERF,HAB used to ~ MOD would,MOD may ~ MOD should,MOD was to ~ PRES
prose,Q,3892,410,734,468,268,232,127,19,85,183,60,55,66,99,69,35,76,27,37,8,17,21,47,34,33,20,48,27,19,16,14,16,11,17,16,38,19,7,7,15,22,2,22,13,15,15,8,0,8,5,15,1,2,5,7,6,5,4,3,7,11,11,10,3,5,4,1,3,1,6,2,2,9,1,1,3,5,6,1,3,3,4,2,6,2,2,4,0,0,2,1,2,2,0,0,4,1,1,2,3,2,2,5,6,0,0,0,2,4,0,4,0,4,3,1,1,1,3,0,0,3,1,2,2,1,1,0,2,0,1,1,3,1,0,1,3,1,2,2,0,1,1,0,0,0,0,1,0,2,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1
poetry,Q,3837,1049,688,187,224,163,0,197,174,89,1,0,111,11,42,24,36,66,88,54,35,31,17,16,14,31,9,17,20,24,27,13,16,11,20,2,15,12,11,6,1,22,8,13,8,2,12,3,8,16,6,7,0,7,5,2,4,0,4,2,0,0,2,7,0,6,3,1,7,1,4,10,1,0,4,2,0,0,1,1,4,1,2,0,1,3,0,3,6,1,2,3,1,1,4,0,4,4,0,1,3,3,0,0,3,1,2,2,1,1,0,1,0,0,1,0,0,0,4,0,0,1,2,2,2,1,0,0,2,1,2,0,1,0,0,0,2,0,1,3,0,1,0,1,2,1,0,0,0,0,1,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
prophetic,Q,3715,598,897,901,163,120,27,67,122,50,23,29,68,22,33,36,22,25,5,33,26,18,13,21,10,16,5,10,23,12,16,5,18,14,10,3,9,6,4,12,10,8,1,7,7,13,6,2,7,1,1,2,9,2,3,8,7,6,1,2,1,2,1,1,7,3,2,2,1,0,4,0,1,10,0,3,1,0,2,3,1,3,0,1,4,2,2,3,1,2,1,2,4,0,1,1,1,0,0,2,0,1,1,0,2,0,3,0,0,0,0,2,1,1,1,3,0,0,0,4,1,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
instruction,Q,1671,295,56,117,19,15,307,1,19,68,221,188,7,80,17,46,5,0,1,1,10,14,0,4,15,1,5,7,1,6,2,20,2,2,0,3,2,17,5,6,5,2,3,1,0,1,0,2,0,0,0,1,9,4,0,0,0,2,6,2,2,1,1,0,2,0,1,0,1,4,1,0,0,0,0,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poetry,?,305,158,48,2,0,18,0,5,28,0,0,0,12,0,0,0,1,0,0,3,4,0,0,0,0,4,1,3,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prose,D,206,10,2,1,2,0,0,99,0,0,0,0,0,0,0,0,0,10,0,4,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instruction,D,183,40,6,7,0,0,42,3,0,9,25,9,0,6,2,5,0,0,0,2,1,3,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
prophetic,D,157,22,37,36,1,4,0,17,8,0,1,0,1,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
prophetic,?,121,32,32,33,1,1,1,2,3,0,0,0,3,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poetry,D,116,65,16,0,0,2,0,17,4,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
