,prophetic,prose,poetry,instruction,poetry,prose,instruction,prophetic,prophetic,poetry,instruction,list,prose,list,prose,list,list,prophetic,instruction
,Q,Q,Q,Q,?,D,D,D,?,D,?,Q,N,D,?,?,N,N,N
PRES,-7.97,-49.45,57.35,-1.53,35.93,-8.88,0.34,-0.99,1.17,17.8,0.66,-1.68,-1.52,-0.85,-0.22,-0.0,0.0,0.0,0.0
FUT,32.71,3.97,-0.31,-77.48,-0.31,-13.76,-8.28,1.5,1.95,-0.58,-4.16,-1.49,-2.01,-0.62,-0.22,-0.23,0.0,0.5,0.0
FUT ~ MOD shall,121.82,0.11,-65.36,-15.56,-15.2,-10.59,-4.3,2.84,4.57,-6.54,0.0,2.37,-1.37,-0.41,0.0,0.0,0.0,0.62,0.0
IMPV,-0.0,12.17,1.88,-14.81,-5.81,-2.77,-3.38,-1.8,-1.34,-1.99,-0.76,-0.4,-0.2,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,-35.94,-0.27,-67.69,152.47,-4.72,-3.2,21.07,-2.33,-1.03,-1.64,-0.57,3.05,-0.2,0.0,0.0,0.0,0.0,0.0,0.0
PAST,-8.5,-34.77,14.51,-23.76,-0.85,92.59,-0.53,4.91,-0.35,6.71,0.0,-0.2,6.76,9.23,4.77,1.99,1.19,0.0,0.0
FUT ~ PRES,0.36,-3.19,7.74,-7.5,6.36,-2.67,-2.32,0.81,0.0,0.11,-0.38,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,-0.26,3.04,2.26,-10.11,2.22,-2.14,-1.98,-0.1,-0.57,-0.42,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,-20.24,-3.79,-42.69,117.48,-3.19,-1.97,11.36,-0.72,-1.11,-0.92,5.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,-11.86,12.65,-1.98,4.98,-3.01,-1.97,1.35,-1.26,-0.91,-0.93,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,-11.99,-2.51,-38.72,97.7,-2.66,-1.61,1.73,-1.08,-0.93,-0.74,3.91,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,-0.2,-0.32,7.29,-7.77,1.67,-1.43,-1.26,-0.42,0.28,-0.14,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,-9.43,8.87,-15.7,19.82,-1.97,-1.08,1.1,-0.73,-0.57,-0.57,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,-0.39,-0.29,-3.0,8.8,-1.28,-0.75,1.27,-0.38,-0.19,-0.19,2.58,1.34,0.0,0.9,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,-0.69,2.39,-0.04,0.05,-1.11,-0.56,0.15,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,-0.75,-0.68,4.43,-6.5,-0.93,4.87,-0.38,0.0,-0.2,-0.2,0.0,0.62,6.86,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,-1.17,8.16,-0.13,-2.07,-0.28,-0.38,-0.39,-0.19,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,0.35,-6.23,5.23,-4.85,0.13,1.06,0.18,0.45,0.58,0.62,0.0,0.65,0.69,1.03,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,-8.02,-0.13,20.4,-4.5,-0.75,-0.39,-0.39,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,0.0,-1.21,1.59,-0.12,0.77,-0.39,0.0,0.0,0.24,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,-0.65,-0.15,1.29,0.49,-0.57,-0.19,0.93,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,-1.61,8.41,-0.77,-4.51,-0.57,2.08,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,2.21
FUT ~ MOD lest,-1.82,3.44,-0.64,1.35,-0.38,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,-0.3,0.05,2.81,-2.77,1.12,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,-0.0,2.19,-0.23,-0.99,-0.38,-0.2,0.0,0.0,0.0,0.34,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,0.59,0.17,0.49,-2.43,0.18,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,-1.21,0.96,0.0,0.0,0.79,0.0,1.29,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF,-0.61,-0.0,1.57,-0.16,-0.19,0.0,0.25,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,-3.03,0.12,-0.19,5.03,0.42,0.0,0.26,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,0.19,-0.45,3.02,-1.22,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,-2.23,7.71,-1.64,-0.08,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,0.7,-0.2,0.49,-1.08,-0.2,0.28,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,-1.37,-0.9,0.06,4.96,0.57,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,-0.4,1.76,0.51,-0.78,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,0.06,1.08,0.0,-0.79,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,-0.06,0.53,1.69,-2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,0.15,1.18,-1.03,0.34,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.0,4.37,-3.57,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,-1.59,-0.45,-0.24,0.09,0.0,9.79,0.0,1.16,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,-0.25,-2.29,5.95,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,-1.56,9.44,-2.98,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,1.18,2.14,-1.92,-0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD may,-2.8,4.71,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,-0.27,1.99,0.08,-1.37,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,-1.74,-3.7,-1.24,-0.24,0.0,21.64,0.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0
MOD would ~ PRES,-1.81,-0.09,4.05,-0.99,0.0,0.0,0.0,0.0,0.0,0.75,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,0.19,0.2,0.46,-0.99,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,-0.0,-0.32,0.85,-1.0,1.06,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,-1.07,-1.63,0.34,-0.3,0.0,3.61,0.0,4.09,0.76,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,0.0,0.34,1.07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.69,-0.89,-2.42,3.54,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,-0.36,0.52,-0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12,0.0,0.0,2.15,0.0,0.0,0.0
MOD must ~ PRES,-0.74,0.1,0.36,0.58,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,0.75,0.11,-0.57,-0.59,0.0,0.0,0.0,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,-1.25,3.81,0.0,-0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,-1.06,-0.11,0.0,2.04,0.0,0.0,0.71,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,-0.58,0.83,-0.57,-0.0,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
