eng_TAMsimp,TOTAL,"('prophetic', 'Q')","('prose', 'Q')","('poetry', 'Q')","('instruction', 'Q')","('poetry', '?')","('prose', 'D')","('instruction', 'D')","('prophetic', 'D')","('prophetic', '?')","('poetry', 'D')","('instruction', '?')","('list', 'Q')","('prose', 'N')","('list', 'D')","('prose', '?')","('list', '?')","('list', 'N')","('prophetic', 'N')","('instruction', 'N')"
PRES,2676,596,408,1033,295,158,10,40,22,32,65,14,1,1,0,0,1,0,0,0
FUT,2352,867,690,598,55,48,2,6,37,32,15,0,1,0,0,0,0,0,1,0
FUT ~ MOD shall,1747,893,461,183,116,2,1,7,34,33,0,6,10,0,0,0,0,0,1,0
IMPV,601,160,236,183,19,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD shall,507,27,126,0,305,0,0,42,0,1,0,0,6,0,0,0,0,0,0,0
PAST,447,67,19,192,1,5,99,3,17,2,17,1,0,9,8,4,2,1,0,0
FUT ~ PRES,429,121,82,164,19,28,0,0,8,3,4,0,0,0,0,0,0,0,0,0
MOD let,367,92,124,119,10,17,0,0,3,1,1,0,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,338,23,59,1,219,0,0,25,1,0,0,9,1,0,0,0,0,0,0,0
MOD may,326,35,146,65,68,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0
MOD is to ~ MOD shall,294,29,55,0,187,0,0,9,0,0,0,7,7,0,0,0,0,0,0,0
MOD can,270,68,65,111,7,12,0,0,1,3,1,2,0,0,0,0,0,0,0,0
MOD shall,220,21,99,11,80,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0
MOD shall ~ PRES,150,35,35,22,46,0,0,5,0,0,0,4,2,0,1,0,0,0,0,0
FUT ~ MOD may,134,29,50,34,17,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
MOD would,120,25,25,52,0,0,10,0,1,0,0,0,1,6,0,0,0,0,0,0
IMPV ~ MOD let,112,21,58,27,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES,111,33,8,51,1,3,4,2,2,2,2,0,1,1,1,0,0,0,0,0
MOD let ~ MOD may,104,5,25,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PART,96,25,17,35,10,4,0,1,1,1,2,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,88,18,21,31,14,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
MOD should,83,13,47,16,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1
FUT ~ MOD lest,72,10,33,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,71,16,19,31,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO INF,71,19,29,16,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
FUT ~ MOD can,64,21,18,20,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,62,10,22,16,7,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0
PRES PERF,61,12,16,24,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,58,5,16,13,20,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
IMPV ~ PRES,55,16,11,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD may,50,5,32,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRES PART,49,17,11,16,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,45,6,7,12,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES,45,9,19,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,44,12,17,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD would,42,10,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must,38,11,15,5,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,38,10,22,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could,38,4,7,8,5,0,10,0,2,0,2,0,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,33,7,2,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ TO INF,33,3,26,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD should,31,13,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD may,30,1,19,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ TO INF,29,6,14,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST,29,2,0,3,2,0,16,0,5,0,0,0,0,0,0,0,1,0,0,0
MOD would ~ PRES,23,1,5,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
FUT ~ IMPV,23,7,7,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES,22,6,4,9,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PAST ~ PRES PART,21,2,1,7,1,0,4,0,4,1,0,0,0,0,1,0,0,0,0,0
FUT ~ MOD let,21,5,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PART,20,8,2,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MOD should ~ TO INF,19,3,7,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
MOD must ~ PRES,18,2,5,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PART,17,7,5,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,17,1,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,16,1,3,4,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,16,2,7,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD shall,15,6,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PAST,15,7,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD must,14,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES,14,1,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PAST,14,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ MOD would,14,1,3,7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
PAST ~ TO INF,13,2,1,3,1,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0
FUT ~ MOD should,12,4,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST,12,2,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might,11,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD must,11,0,5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD can,11,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to,10,1,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,10,0,1,4,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0
MOD let ~ MOD must,9,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PAST,9,2,1,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
MOD is to ~ MOD let,9,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD should,8,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PAST,8,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,8,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD could,8,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PAST,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD would,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD should,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD must,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
