period,PRES,PAST,PRES PART,PRES PROG,PAST PROG,PAST ~ PAST PROG,PRES ~ PRES PROG,PAST ~ PRES PART,PRES ~ PRES PART,PAST PERF,FUT,FUT ~ MOD shall,PAST PROG ~ PRES PART,PAST ~ PRES,PRES PART ~ PRES PROG,PRES PERF,PAST ~ PAST PERF,FUT ~ PRES,FUT ~ FUT going-to,PAST ~ PRES PERF,PRES ~ PRES PERF,PAST ~ TO INF,TO INF,MOD could ~ PAST,FUT going-to ~ PRES,FUT ~ PRES PROG,MOD may ~ PRES,MOD can ~ PRES,MOD could,FUT going-to ~ PRES PROG,PAST ~ PAST PERF PROG,PRES PART ~ TO INF,MOD would ~ PRES,MOD would ~ PAST,MOD should,IMPV ~ PRES,MOD is to ~ MOD shall,MOD is to ~ PRES,FUT ~ MOD is to,IMPV ~ MOD may,IMPV,PAST PERF ~ PAST PROG,FUT ~ TO INF,MOD would,MOD was to ~ PAST,PRES PERF PROG ~ PRES PROG,MOD should ~ TO INF,PRES ~ TO INF,MOD was to ~ TO INF,MOD was to ~ PAST PROG,FUT PROG ~ PRES PART,MOD can ~ PRES PART,PAST PERF ~ PRES PART,MOD let ~ PRES,MOD is to ~ TO INF,PAST PERF PROG ~ PAST PROG,MOD may,PRES PART ~ PRES PERF,MOD must ~ PRES,PAST PERF ~ PAST PERF PROG,FUT ~ MOD must,PRES PERF PROG,FUT ~ PRES PART,MOD shall ~ PRES,PRES PERF ~ PRES PROG,MOD must ~ MOD shall,IMPV ~ PAST,PRES PERF ~ TO INF,PRES PERF ~ PRES PERF PROG,FUT going-to ~ PRES PART,PRES PART ~ PRES PERF PROG,HAB used to ~ PAST PERF,HAB used to ~ PAST,IMPV ~ PRES PROG,FUT going-to ~ MOD shall,FUT ~ PAST,PRES ~ PRES PERF PROG,FUT ~ FUT PROG,MOD is to ~ PRES PART,MOD can,PAST PROG ~ TO INF,MOD let,MOD let ~ TO INF,MOD may ~ PAST,MOD might,MOD must,MOD must ~ PRES PROG,MOD shall,MOD shall ~ PAST,MOD shall ~ TO INF,FUT PROG ~ MOD is to,MOD should ~ MOD was to,MOD should ~ MOD would,MOD should ~ PAST,MOD that VB ~ PRES PART,MOD was to,MOD was to ~ PRES PART,MOD is to ~ MOD would,MOD would ~ PRES PROG,MOD is to,MOD could ~ PRES PART,PAST PERF ~ PRES,PAST PROG ~ PRES,MOD can ~ MOD shall,TO INF ~ VB
SBH,0.09,-0.14,-0.01,0.03,0.02,-0.0,0.02,-0.02,0.01,-0.02,0.02,0.0,0.01,0.01,0.0,0.0,-0.01,0.01,0.0,0.0,-0.0,0.0,-0.01,-0.01,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
LBH,-0.09,0.14,0.01,-0.03,-0.02,0.0,-0.02,0.02,-0.01,0.02,-0.02,-0.0,-0.01,-0.01,-0.0,-0.0,0.01,-0.01,-0.0,-0.0,0.0,-0.0,0.01,0.01,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
