,SBH,LBH
PAST..IND,0.69,1.45
PRES.PERF.IND,1.86,0.54
PAST.PERF.IND,0.69,1.45
PRES..IND,1.78,0.56
PRES..MOD,0.87,1.15
PAST..SUBJ,1.33,0.75
FUT..IND,1.75,0.57
PRES..,2.92,0.34
PAST.PROG.IND,1.31,0.76
PRES.PROG.IND,0.68,1.47
past.PERF_PROG.IND,0.29,3.44
PRES.PERF_PROG.IND,inf,0.0
..,inf,0.0
