eng_TAM,SBH,LBH
PAST..IND,1.34,3.94
PRES.PERF.IND,1.18,6.68
PAST.PERF.IND,1.4,3.5
PRES..IND,1.17,6.88
PRES..MOD,1.33,4.0
PAST..SUBJ,1.22,5.57
FUT..IND,1.17,7.0
PRES..,1.1,11.0
PAST.PROG.IND,1.22,5.5
PRES.PROG.IND,1.43,3.33
past.PERF_PROG.IND,2.0,2.0
PRES.PERF_PROG.IND,1.0,inf
..,1.0,inf
