,SBH,LBH
PAST..IND,-7.29,7.29
PRES.PERF.IND,12.1,-12.1
PAST.PERF.IND,-4.0,4.0
PRES..IND,4.27,-4.27
PRES..MOD,-0.15,0.15
PAST..SUBJ,0.24,-0.24
FUT..IND,0.13,-0.13
PRES..,0.32,-0.32
PAST.PROG.IND,-0.0,0.0
PRES.PROG.IND,-0.15,0.15
past.PERF_PROG.IND,-0.4,0.4
PRES.PERF_PROG.IND,-0.0,0.0
..,-0.0,0.0
