period,PAST..IND,PRES.PERF.IND,PAST.PERF.IND,PRES..IND,PRES..MOD,PAST..SUBJ,FUT..IND,PRES..,PAST.PROG.IND,PRES.PROG.IND,past.PERF_PROG.IND,PRES.PERF_PROG.IND,..
SBH,0.53,0.24,0.12,0.08,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,0.62,0.15,0.16,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
