bhsa_node,ref,text_full,sentence,lxx,lxx_tm,niv,esv,niv_TAM
180235,1_Kings 6:7,נִשְׁמַ֥ע,וְהַבַּ֨יִת֙ בְּהִבָּ֣נֹתֹ֔ו אֶֽבֶן־שְׁלֵמָ֥ה מַסָּ֖ע נִבְנָ֑ה וּמַקָּבֹ֤ות וְהַגַּרְזֶן֙ כָּל־כְּלִ֣י בַרְזֶ֔ל לֹֽא־נִשְׁמַ֥ע בַּבַּ֖יִת בְּהִבָּנֹתֹֽו׃ ,ἠκούσθη,future indc,was heard,was heard,PAST..IND
207883,2_Kings 19:23,עָלִ֛יתִי,בְּרֹ֥ב רִכְבִּ֛י אֲנִ֥י עָלִ֛יתִי מְרֹ֥ום הָרִ֖ים יַרְכְּתֵ֣י לְבָנֹ֑ון ,ἀναβήσομαι,future indc,have ascended,have gone up,PRES.PERF.IND
215728,Isaiah 10:13,עָשִׂ֔יתִי,בְּכֹ֤חַ יָדִי֙ עָשִׂ֔יתִי וּבְחָכְמָתִ֖י ,ποιήσω,future indc,I have done,I have done,PRES.PERF.IND
216399,Isaiah 11:16,הָֽיְתָה֙,וְהָיְתָ֣ה מְסִלָּ֔ה לִשְׁאָ֣ר עַמֹּ֔ו אֲשֶׁ֥ר יִשָּׁאֵ֖ר מֵֽאַשּׁ֑וּר כַּאֲשֶׁ֤ר הָֽיְתָה֙ לְיִשְׂרָאֵ֔ל בְּיֹ֥ום עֲלֹתֹ֖ו מֵאֶ֥רֶץ מִצְרָֽיִם׃ ,ἔσται,future indc,there was,there was,PAST..IND
217617,Isaiah 16:9,נָפָֽל,כִּ֧י עַל־קֵיצֵ֛ךְ וְעַל־קְצִירֵ֖ךְ הֵידָ֥ד נָפָֽל׃ ,πεσοῦνται,future indc,have been stilled,has ceased,PRES.PERF.IND
218335,Isaiah 19:13,הִתְע֥וּ,הִתְע֥וּ אֶת־מִצְרַ֖יִם פִּנַּ֥ת שְׁבָטֶֽיהָ׃ ,πλανήσουσιν,future indc,have led astray,have made stagger,PRES.PERF.IND
220660,Isaiah 27:7,הִכָּ֑הוּ,הַכְּמַכַּ֥ת מַכֵּ֖הוּ הִכָּ֑הוּ ,πληγήσεται,future indc,he struck down,Has he struck,PAST..IND
222840,Isaiah 32:14,עֻזָּ֑ב,הֲמֹ֥ון עִ֖יר עֻזָּ֑ב ,ἀφήσουσιν,future indc,deserted,deserted,PAST..IND
226471,Isaiah 41:26,הִגִּ֤יד,מִֽי־הִגִּ֤יד מֵרֹאשׁ֙ וּמִלְּפָנִ֖ים רִאשֹׁ֥ון לְצִיֹּ֖ון וְלִירוּשָׁלִַ֖ם ,ἀναγγελεῖ,future indc,told,declared,PAST..IND
227766,Isaiah 44:22,גְאַלְתִּֽיךָ,כִּ֥י גְאַלְתִּֽיךָ׃ ,λυτρώσομαί,future indc,I have redeemed,I have redeemed,PRES.PERF.IND
228144,Isaiah 45:16,נִכְלְמ֖וּ,וְגַֽם־נִכְלְמ֖וּ כֻּלָּ֑ם ,ἐντραπήσονται,future indc,disgraced,confounded,PAST..IND
