eng_TAM,cl_args,sum
PAST..IND,RV,775
PAST..IND,_W_SV,578
PRES..IND,V,547
PRES..IND,AV,525
PRES.PERF.IND,V,494
PAST..IND,V,487
PRES.PERF.IND,RV,411
PAST..IND,AV,379
PAST.PERF.IND,RV,354
PAST..IND,_W_AV,283
PAST..IND,_KJ_V,252
PAST..IND,SV,252
PRES.PERF.IND,_KJ_V,248
PAST..IND,_W_OV,243
PAST..IND,_>CR_V,209
PRES.PERF.IND,SV,152
PRES..IND,_KJ_V,149
PRES..IND,SV,141
PAST..IND,_W_V,132
PRES.PERF.IND,AV,132
PRES.PERF.IND,QV,116
PAST.PERF.IND,_KJ_V,112
PAST..IND,OV,111
PRES..IND,_W_SV,100
PRES.PERF.IND,_W_SV,100
PRES..IND,RV,92
PRES.PERF.IND,OV,88
PRES..IND,_KJ_AV,83
PRES.PERF.IND,_KJ_SV,82
PRES.PERF.IND,_>CR_V,79
PRES..IND,OV,61
PRES.PERF.IND,_W_AV,58
PAST.PERF.IND,_W_SV,57
PAST.PERF.IND,_>CR_V,56
PRES.PERF.IND,_W_V,55
PAST..IND,_KJ_AV,53
PRES.PERF.IND,_KJ_AV,46
PRES.PERF.IND,_W_OV,42
PRES.PERF.IND,_KJ_OV,38
PRES..IND,_KJ_SV,33
PAST..IND,_KJ_SV,32
PAST.PERF.IND,QV,31
PRES.PERF.IND,IV,30
PRES..IND,_W_V,29
PAST..SUBJ,_W_V,28
PRES.PERF.IND,_>M_V,26
PRES..MOD,_W_V,26
PRES..IND,_W_OV,26
PAST..IND,QV,25
PRES..IND,QV,23
FUT..IND,V,21
PRES..IND,_>M_V,20
PRES..IND,_W_AV,20
PRES..IND,_W_SAV,18
PAST..IND,_W_RV,17
PAST.PERF.IND,V,16
PAST..IND,SAV,15
PAST..IND,ASV,15
PAST.PERF.IND,_KJ_SV,15
PAST.PERF.IND,_KJ_AV,14
PAST..IND,_W_SAV,14
PRES..IND,IV,13
PAST.PERF.IND,SV,13
PRES..IND,SAV,13
PAST..IND,_W_OAV,12
PRES..IND,RSV,12
PAST..IND,IV,12
PAST.PERF.IND,_W_V,11
PAST..IND,_KJ_OV,11
PAST.PERF.IND,AV,10
FUT..IND,AV,10
PRES..IND,_W__>M_V,10
PAST..SUBJ,V,10
PRES..IND,_>CR_V,9
PRES..IND,_KJ_OV,9
PRES.PERF.IND,_W_IV,9
PRES.PERF.IND,ISV,9
PRES..IND,ISV,8
PRES.PERF.IND,SAV,8
PAST..IND,_>M_V,8
PRES..,V,8
PRES.PERF.IND,QAV,8
PRES..IND,_>W_V,8
PAST.PERF.IND,_W_OV,8
PAST.PERF.IND,_KJ_OV,8
PRES.PERF.IND,_>M_IV,8
PRES..IND,ASV,7
PRES..IND,AOV,7
PAST..IND,_W__KJ_V,7
PRES..IND,OAV,7
PRES..,AV,7
PAST..IND,QAV,7
PRES.PERF.IND,ASV,7
PAST..IND,_W_IV,7
PAST..IND,_W_ISV,7
PRES.PERF.IND,_W_QV,6
PAST..IND,_J<N/_V,6
PRES.PERF.IND,_W_RV,6
PRES.PERF.IND,IAV,6
FUT..IND,SV,6
PRES.PERF.IND,_J<N/_V,6
PAST..IND,_W_QV,6
PAST.PERF.IND,_W_QV,5
PAST.PERF.IND,QAV,5
PRES..IND,IIV,5
PAST..IND,ISV,5
PRES.PERF.IND,_>M_AV,5
PAST..SUBJ,AV,5
PRES.PERF.IND,IIV,5
