cl_args,RV,V,AV,V,AV,CV,_W_SV,_W_SV,CV,RV,CV,RV,AV,V,SV,_W_AV,V,SV,_W_SV,CV,RV,_W_OV,RV,_W_AV,_W_OV,OV,CV,_W_AV,RV,_W_V,_W_V,SV,CV,AV,AV,AV,CAV,AV,RV,OV,V,CAV,QV,RV,SV,_W_OV,OV,V,V,_W_SV,QV,CV,CSV,CSV,CV,_W_SV,CSV,SV,CAV,CAV,QV,V,OV,_W_CV,SV,CSV,CAV,CSV,QV,_W_RV,AV,SV,QV,CAV,_W_SAV,IV,COV,IV,COV,QV,_W_V,COV,SAV,_W_AV,CSV,COV,QAV,SV,SAV,ASV,AOV,_W_SV,_W_SAV,_W_SV,_W_V,ASV,IV,OV,_W_OAV,IV,_W_QV,IIV,ISV,COV,_W_IV,QV,OAV,_W_OV,_W_SOV,QAV,ASV,_W_CV,_W_QV,OV,COV,_W_V,IV,QAV,IOV,OV,_W_OV,ISV,ISV,RV,CIV,CAV,_W_SV,RSV,_W_AV,_W_CV,_W_AV,_W_ISV,_W_IV,_W_SAV,_W_RV,SAV,SAV,SAV,OV,_W_OV,_W_ASV,_W_OAV,ASV,CQV,_W_SOV,_W_ASV,_W_V,_W_CAV,RSV,IAV,IAV,OAV,_W_OAV,OAV,_W_CAV,IOV,RSV,_W_SOV,IV,_W_IV,CASV,ASV,V,CSV,CSAV,QOV,QSV,QV,_W_V,CQV,ISV,ISV,_W_RV,COV,CSV,CIV,_W_CV,_W_CV,IAV,CV,ISV,_W_CAV,CSAV,_W_QV,_W_SAV,CSV,_W_IV,SOV,AOV,QSV,_W_IV,_W_ISV,_W_ASV,_W_IV,_W_OSV,_W_V,AOV,OAV,RAV,OAV,SOV,COAV,CIV,AOV,_W_CAV,COAV,ARV,ARV,ACV,ACSV,CIV,ACAV,_W_COV,ASAV,CASV,ASOV,_W_SOV,CASV,_W_COV,CAV,CAOV,CAV,CAOV,_W_ACV,_W_AOV,ASV,_W_AOV,_W_AOV,AV,_W_SAV,CIAV,_W_ASV,CISV,CISV,_W_QV,_W_CSV,QSV,OSV,OSV,SAV,_W_OV,_W_OV,QAV,QAV,SAOV,QAV,_W_ISV,QSV,_W_OAV,_W_SAV,_W_IV,_W_OAV,RAV,RAV,RAV,RAV,ROV,RSV,RSV,RSV,RSV,OAV,SAV,OAV,OASV,CQV,CQV,CQV,CSAV,CSOV,_W_SAV,_W_SAV,_W_RV,_W_QV,_W_CV,_W_QSV,_W_QAV,IAV,IAV,IIAV,IIV,IIV,IOV,IOV,_W_IAV,_W_IAV,SV,SOV,ACAV
mother_verbtype,Ø,qtl,qtl,Ø,Ø,wayq,wayq,qtl,qtl,wayq,yqtl,qtl,wayq,wayq,qtl,qtl,yqtl,Ø,Ø,Ø,yqtl,wayq,wqtl,Ø,qtl,qtl,impv,wayq,infc,qtl,wayq,wayq,wqtl,wqtl,yqtl,infc,qtl,impv,impv,Ø,impv,yqtl,wayq,ptcp,yqtl,Ø,wayq,infc,ptcp,ptcp,qtl,infc,yqtl,Ø,ptcp,yqtl,qtl,infc,Ø,impv,Ø,wqtl,yqtl,qtl,impv,wqtl,wayq,impv,impv,qtl,ptcp,ptcp,yqtl,wqtl,qtl,wayq,Ø,Ø,yqtl,infc,Ø,impv,Ø,yqtl,wayq,qtl,Ø,wqtl,qtl,Ø,qtl,wqtl,Ø,infc,yqtl,qtl,qtl,impv,qtl,yqtl,qtl,wayq,Ø,wayq,wayq,wqtl,qtl,ptcp,Ø,qtl,wayq,Ø,Ø,ptcp,wqtl,ptcp,impv,wayq,qtl,infc,wqtl,wayq,qtl,infa,wayq,ptcp,impv,Ø,wqtl,yqtl,ptcp,wayq,wqtl,wayq,Ø,yqtl,wayq,ptcp,wqtl,yqtl,Ø,wayq,yqtl,qtl,qtl,qtl,infa,Ø,qtl,wayq,yqtl,wayq,Ø,ptcp,qtl,wayq,yqtl,yqtl,infc,qtl,yqtl,impv,infa,infc,yqtl,Ø,qtl,ptcp,wqtl,yqtl,infc,impv,ptcp,ptcp,infa,Ø,wqtl,impv,Ø,infa,yqtl,wqtl,impv,impv,yqtl,ptcp,yqtl,qtl,yqtl,wayq,ptcp,ptcp,wayq,Ø,Ø,infc,Ø,Ø,Ø,impv,Ø,qtl,impv,wayq,yqtl,yqtl,qtl,wayq,wayq,Ø,infc,yqtl,qtl,qtl,infa,Ø,wqtl,impv,Ø,infa,Ø,infc,qtl,wayq,wayq,ptcp,yqtl,Ø,infa,wqtl,impv,wqtl,qtl,impv,infc,Ø,Ø,qtl,Ø,impv,infc,impv,impv,ptcp,qtl,yqtl,wqtl,yqtl,wqtl,ptcp,impv,ptcp,impv,qtl,wqtl,yqtl,Ø,impv,infc,ptcp,wqtl,yqtl,wqtl,infc,qtl,impv,ptcp,wayq,Ø,qtl,infc,impv,wayq,wayq,infc,Ø,qtl,impv,qtl,yqtl,impv,Ø,impv,Ø,impv,qtl,infa,yqtl,infc
eng_TAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST..IND,388,204,155,84,102,179,259,169,111,78,60,121,122,92,77,114,30,79,108,45,50,133,54,109,72,47,7,91,34,23,44,50,39,9,14,11,22,7,28,19,10,18,4,18,10,37,37,8,5,22,6,18,6,5,12,6,11,15,11,3,2,5,4,10,7,2,10,3,7,14,8,4,4,12,5,3,2,1,4,0,4,1,9,5,9,3,2,3,6,8,4,6,7,7,2,5,2,0,6,3,2,0,2,3,4,1,2,0,2,2,2,3,2,0,1,3,2,3,0,1,2,0,3,4,0,0,2,0,2,0,5,5,0,4,2,1,2,0,3,0,2,4,1,3,0,1,0,2,1,1,0,1,2,0,0,1,0,2,1,0,1,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2,0,1,1,0,0,1,2,2,2,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
PRES.PERF.IND,156,189,55,95,52,11,1,52,76,6,110,30,15,64,39,34,34,39,17,56,72,2,68,13,24,34,58,6,22,28,7,15,30,10,6,4,10,9,32,30,41,21,34,24,24,7,6,26,14,9,22,6,23,20,14,16,8,11,8,6,21,6,11,7,11,19,4,12,14,4,3,7,9,6,1,10,11,8,9,10,7,11,3,5,1,5,5,7,1,2,3,3,2,2,3,1,5,5,0,2,5,4,2,0,1,3,2,3,1,3,3,1,0,1,4,1,4,1,0,4,2,2,1,1,5,3,1,0,2,1,0,0,4,0,2,0,0,3,1,2,1,0,2,0,0,0,2,0,1,2,2,0,0,0,3,2,0,0,1,3,1,0,0,0,0,1,0,1,0,1,1,1,0,2,1,2,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
PRES..IND,38,240,122,113,137,7,3,55,34,2,63,9,50,22,54,11,88,33,20,31,19,2,7,9,20,21,38,1,4,15,2,15,13,59,50,55,33,54,9,18,15,21,7,4,19,3,4,8,23,5,5,2,8,6,3,11,8,6,8,20,3,16,15,2,8,4,2,9,2,0,9,9,3,1,13,4,2,3,2,0,1,2,3,3,0,2,3,1,5,2,5,3,2,2,2,3,1,3,3,4,0,4,4,0,0,0,2,1,1,0,0,0,1,4,0,0,0,0,2,0,0,2,0,0,0,1,2,5,0,4,0,0,1,0,0,3,1,1,0,2,1,0,0,1,3,0,0,1,1,0,1,2,1,2,0,0,3,1,1,0,1,1,1,0,3,0,0,0,2,0,1,1,1,0,1,0,2,1,0,1,0,1,1,0,2,1,1,2,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PAST.PERF.IND,82,3,3,5,4,98,30,17,48,170,7,51,2,7,2,2,0,4,7,10,2,2,6,0,5,1,1,2,32,7,2,6,4,0,0,0,3,1,0,0,0,0,12,10,0,1,0,0,1,3,8,10,0,5,7,0,8,0,3,0,3,0,0,8,0,1,9,0,0,4,0,0,0,0,0,0,2,0,0,6,0,0,0,0,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,1,0,0,0,1,1,2,3,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FUT..IND,0,2,4,5,3,0,0,0,2,0,3,0,1,0,3,1,6,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PAST..SUBJ,3,6,1,2,3,0,0,2,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,6,19,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES..MOD,1,0,1,3,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES..,2,0,3,1,2,1,0,0,0,0,2,1,3,2,0,1,2,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
