eng_TAM,cl_args,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PAST.PERF.IND,SV,0.15,0.31,0.54,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W_OAV,0.5,0.17,0.33,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,IV,0.17,0.08,0.25,0.25,0.17,0.0,0.08,0.0,0.0
PRES..IND,RSV,0.08,0.42,0.0,0.25,0.08,0.08,0.08,0.0,0.0
PAST.PERF.IND,_W_V,0.64,0.0,0.18,0.09,0.0,0.0,0.0,0.09,0.0
PAST..IND,_KJ_OV,0.09,0.09,0.27,0.36,0.09,0.09,0.0,0.0,0.0
PAST..SUBJ,V,0.6,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0
FUT..IND,AV,0.4,0.2,0.1,0.2,0.0,0.0,0.1,0.0,0.0
PRES..IND,_W__>M_V,0.2,0.0,0.0,0.4,0.1,0.3,0.0,0.0,0.0
PAST.PERF.IND,AV,0.3,0.4,0.2,0.0,0.1,0.0,0.0,0.0,0.0
PRES.PERF.IND,ISV,0.11,0.22,0.22,0.22,0.11,0.0,0.11,0.0,0.0
PRES..IND,_>CR_V,0.33,0.22,0.11,0.33,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_IV,0.33,0.11,0.11,0.0,0.0,0.44,0.0,0.0,0.0
PRES..IND,_KJ_OV,0.22,0.33,0.0,0.22,0.22,0.0,0.0,0.0,0.0
PRES..,V,0.0,0.25,0.38,0.25,0.12,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>M_IV,0.0,0.25,0.62,0.0,0.0,0.0,0.12,0.0,0.0
PAST.PERF.IND,_KJ_OV,0.25,0.12,0.5,0.0,0.0,0.12,0.0,0.0,0.0
PRES..IND,ISV,0.0,0.5,0.25,0.0,0.12,0.0,0.12,0.0,0.0
PRES.PERF.IND,QAV,0.38,0.5,0.12,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_OV,0.62,0.12,0.25,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>M_V,0.25,0.12,0.12,0.25,0.0,0.25,0.0,0.0,0.0
PRES.PERF.IND,SAV,0.12,0.38,0.0,0.0,0.0,0.12,0.0,0.38,0.0
PRES..IND,_>W_V,0.25,0.0,0.0,0.12,0.0,0.62,0.0,0.0,0.0
PRES..IND,AOV,0.71,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
PRES..IND,ASV,0.43,0.29,0.0,0.0,0.14,0.0,0.0,0.14,0.0
