eng_TAM,cl_args,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PAST..IND,RV,5.4,1.0,8.94,14.5,26.68,13.35,21.79,42.06,192.75
PAST..IND,_W_SV,2.44,4.21,1.25,95.33,288.0,95.33,81.57,26.52,inf
PRES..IND,V,1.21,3.56,23.86,5.01,33.19,31.18,67.38,20.88,546.0
PRES..IND,AV,3.49,2.95,9.5,9.71,8.72,7.9,8.55,64.62,inf
PRES.PERF.IND,V,1.47,3.99,6.48,12.72,10.49,53.89,18.0,31.93,inf
PAST..IND,V,1.24,4.07,3.51,14.22,47.7,59.88,47.7,80.17,inf
PRES.PERF.IND,RV,12.7,1.63,67.5,4.71,11.84,5.04,17.68,16.12,410.0
PAST..IND,AV,1.73,3.26,2.41,30.58,53.14,62.17,46.38,53.14,inf
PAST.PERF.IND,RV,5.94,3.32,1.07,176.0,inf,58.0,10.06,34.4,inf
PAST..IND,_W_AV,1.53,2.77,2.37,55.6,inf,140.5,inf,55.6,inf
PAST..IND,_KJ_V,2.71,8.0,1.55,8.69,62.0,21.91,21.91,49.4,inf
PAST..IND,SV,2.19,2.07,4.14,21.91,30.5,83.0,15.8,62.0,251.0
PRES.PERF.IND,_KJ_V,3.2,5.7,40.33,2.44,3.77,16.71,247.0,34.43,inf
PAST..IND,_W_OV,2.38,5.75,0.83,inf,inf,120.5,inf,inf,inf
PAST..IND,_>CR_V,3.86,13.93,1.82,5.97,51.25,5.97,28.86,33.83,208.0
PRES.PERF.IND,SV,2.9,2.8,9.13,5.61,14.2,20.71,12.82,20.71,inf
PRES..IND,_KJ_V,4.52,5.77,36.25,1.92,3.26,23.83,73.5,148.0,148.0
PRES..IND,SV,1.66,3.41,8.4,6.83,16.62,140.0,22.5,16.62,inf
PAST..IND,_W_V,3.55,1.93,1.59,65.0,inf,inf,65.0,43.0,inf
PRES.PERF.IND,AV,1.81,1.93,9.15,25.4,15.5,17.86,32.0,65.0,131.0
PRES.PERF.IND,QV,4.27,4.27,2.41,11.89,6.73,37.67,10.6,115.0,inf
PAST.PERF.IND,_KJ_V,2.61,21.4,0.9,36.33,inf,111.0,15.0,17.67,inf
PAST..IND,OV,1.31,4.84,2.08,26.75,inf,36.0,110.0,inf,inf
PRES..IND,_W_SV,0.82,4.26,32.33,8.09,49.0,32.33,49.0,19.0,inf
PRES.PERF.IND,_W_SV,0.92,5.25,99.0,5.25,99.0,32.33,49.0,10.11,inf
PRES..IND,RV,9.22,1.42,45.0,3.84,9.22,12.14,22.0,22.0,inf
PRES.PERF.IND,OV,1.84,2.03,13.67,7.0,16.6,87.0,21.0,87.0,inf
PRES..IND,_KJ_AV,1.52,10.86,40.5,3.15,3.37,82.0,inf,82.0,inf
PRES.PERF.IND,_KJ_SV,12.67,2.9,81.0,2.73,5.83,3.32,inf,inf,81.0
PRES.PERF.IND,_>CR_V,5.58,6.18,25.33,2.16,12.17,6.9,14.8,10.29,inf
PRES..IND,OV,1.9,2.81,14.25,3.36,29.5,inf,inf,14.25,inf
PRES.PERF.IND,_W_AV,0.71,4.27,8.67,10.6,inf,28.0,inf,inf,inf
PAST.PERF.IND,_W_SV,2.35,7.14,0.9,inf,inf,inf,inf,18.0,inf
PAST.PERF.IND,_>CR_V,3.31,27.0,0.65,27.0,inf,55.0,17.67,55.0,inf
PRES.PERF.IND,_W_V,0.96,3.23,6.86,17.33,inf,inf,54.0,54.0,26.5
PAST..IND,_KJ_AV,3.08,6.57,5.62,2.53,25.5,7.83,52.0,inf,52.0
PRES.PERF.IND,_KJ_AV,5.57,14.33,22.0,1.19,8.2,6.67,inf,22.0,inf
PRES.PERF.IND,_W_OV,0.75,5.0,20.0,20.0,41.0,20.0,41.0,13.0,inf
PRES.PERF.IND,_KJ_OV,11.67,2.8,inf,3.75,2.45,8.5,inf,18.0,inf
PRES..IND,_KJ_SV,4.5,5.6,inf,3.71,2.67,7.25,inf,32.0,32.0
PAST..IND,_KJ_SV,3.0,7.0,2.56,5.4,15.0,15.0,31.0,31.0,inf
PAST.PERF.IND,QV,2.88,9.33,1.58,inf,inf,30.0,4.17,30.0,inf
PRES.PERF.IND,IV,5.0,2.75,2.0,14.0,6.5,inf,29.0,inf,inf
PRES..IND,_W_V,0.93,2.62,13.5,13.5,inf,13.5,inf,inf,inf
PAST..SUBJ,_W_V,3.67,13.0,0.47,inf,inf,inf,inf,inf,27.0
PRES..IND,_W_OV,0.3,25.0,12.0,12.0,inf,inf,inf,25.0,inf
PRES.PERF.IND,_>M_V,7.67,2.25,12.0,1.6,inf,7.67,inf,inf,inf
PRES..MOD,_W_V,1.89,7.67,1.0,inf,inf,inf,inf,25.0,inf
PAST..IND,QV,3.17,7.33,5.25,5.25,2.57,24.0,inf,inf,inf
PRES..IND,QV,3.6,2.83,2.29,6.67,10.5,inf,inf,inf,inf
FUT..IND,V,6.0,2.0,inf,2.5,inf,6.0,20.0,20.0,inf
PRES..IND,_>M_V,9.0,1.86,19.0,3.0,4.0,inf,inf,19.0,inf
PRES..IND,_W_AV,0.82,3.0,19.0,5.67,inf,inf,inf,inf,inf
PRES..IND,_W_SAV,0.38,8.0,inf,8.0,17.0,inf,inf,inf,inf
PAST..IND,_W_RV,0.21,7.5,inf,inf,inf,inf,inf,16.0,inf
PAST.PERF.IND,V,4.33,2.2,1.29,inf,inf,inf,inf,15.0,inf
PAST..IND,SAV,2.0,0.88,14.0,inf,14.0,inf,inf,inf,inf
PAST..IND,ASV,2.0,1.5,6.5,14.0,14.0,inf,inf,inf,inf
PAST.PERF.IND,_KJ_SV,1.14,4.0,4.0,inf,inf,14.0,14.0,inf,inf
PAST..IND,_W_SAV,1.8,3.67,2.5,inf,inf,inf,13.0,13.0,inf
PAST.PERF.IND,_KJ_AV,3.67,13.0,0.56,inf,inf,inf,inf,13.0,inf
PRES..IND,SAV,1.6,3.33,12.0,3.33,inf,inf,inf,12.0,inf
PRES..IND,IV,12.0,3.33,2.25,2.25,inf,inf,12.0,inf,inf
PAST.PERF.IND,SV,5.5,2.25,0.86,inf,inf,inf,inf,inf,inf
PAST..IND,_W_OAV,1.0,5.0,2.0,inf,inf,inf,inf,inf,inf
PAST..IND,IV,5.0,11.0,3.0,3.0,5.0,inf,11.0,inf,inf
PRES..IND,RSV,11.0,1.4,inf,3.0,11.0,11.0,11.0,inf,inf
PAST.PERF.IND,_W_V,0.57,inf,4.5,10.0,inf,inf,inf,10.0,inf
PAST..IND,_KJ_OV,10.0,10.0,2.67,1.75,10.0,10.0,inf,inf,inf
PAST..SUBJ,V,0.67,4.0,9.0,inf,9.0,inf,inf,inf,inf
FUT..IND,AV,1.5,4.0,9.0,4.0,inf,inf,9.0,inf,inf
PRES..IND,_W__>M_V,4.0,inf,inf,1.5,9.0,2.33,inf,inf,inf
PAST.PERF.IND,AV,2.33,1.5,4.0,inf,9.0,inf,inf,inf,inf
PRES.PERF.IND,ISV,8.0,3.5,3.5,3.5,8.0,inf,8.0,inf,inf
PRES..IND,_>CR_V,2.0,3.5,8.0,2.0,inf,inf,inf,inf,inf
PRES.PERF.IND,_W_IV,2.0,8.0,8.0,inf,inf,1.25,inf,inf,inf
PRES..IND,_KJ_OV,3.5,2.0,inf,3.5,3.5,inf,inf,inf,inf
PRES..,V,inf,3.0,1.67,3.0,7.0,inf,inf,inf,inf
PRES.PERF.IND,_>M_IV,inf,3.0,0.6,inf,inf,inf,7.0,inf,inf
PAST.PERF.IND,_KJ_OV,3.0,7.0,1.0,inf,inf,7.0,inf,inf,inf
PRES..IND,ISV,inf,1.0,3.0,inf,7.0,inf,7.0,inf,inf
PRES.PERF.IND,QAV,1.67,1.0,7.0,inf,inf,inf,inf,inf,inf
PAST.PERF.IND,_W_OV,0.6,7.0,3.0,inf,inf,inf,inf,inf,inf
PAST..IND,_>M_V,3.0,7.0,7.0,3.0,inf,3.0,inf,inf,inf
PRES.PERF.IND,SAV,7.0,1.67,inf,inf,inf,7.0,inf,1.67,inf
PRES..IND,_>W_V,3.0,inf,inf,7.0,inf,0.6,inf,inf,inf
PRES..IND,AOV,0.4,inf,inf,2.5,inf,inf,inf,inf,inf
PRES..IND,ASV,1.33,2.5,inf,inf,6.0,inf,inf,6.0,inf
PRES..IND,OAV,2.5,6.0,2.5,inf,inf,inf,inf,2.5,inf
PAST..IND,QAV,2.5,6.0,1.33,6.0,inf,inf,inf,inf,inf
PAST..IND,_W__KJ_V,0.17,6.0,inf,inf,inf,inf,inf,inf,inf
PRES.PERF.IND,ASV,6.0,6.0,1.33,2.5,inf,inf,inf,inf,inf
PRES..,AV,1.33,6.0,1.33,inf,inf,inf,inf,inf,inf
PAST..IND,_W_IV,inf,inf,0.75,6.0,inf,inf,inf,2.5,inf
PAST..IND,_W_ISV,inf,inf,0.4,inf,inf,inf,inf,2.5,inf
PRES.PERF.IND,IAV,5.0,5.0,2.0,2.0,inf,inf,inf,inf,inf
PRES.PERF.IND,_W_RV,0.5,2.0,inf,inf,inf,inf,inf,inf,inf
PRES.PERF.IND,_J<N/_V,2.0,1.0,inf,inf,inf,5.0,inf,inf,inf
