,x,Wx,Ø
PAST..IND,-26.9,92.64,-14.53
PRES.PERF.IND,6.01,-32.73,8.39
PRES..IND,0.74,-38.45,27.29
PAST.PERF.IND,42.59,-5.09,-47.46
FUT..IND,-0.77,-0.06,1.43
PAST..SUBJ,-2.85,6.19,-0.89
PRES..MOD,-4.44,9.13,-1.31
PRES..,-0.33,0.57,0.0
PRES.PROG.IND,0.09,-0.26,0.27
PAST.PROG.IND,-0.59,2.12,-0.84
..,-1.15,-0.23,2.4
past.PERF_PROG.IND,0.28,0.0,0.0
FUT.PERF.IND,-0.85,1.39,0.0
PRES.PERF_PROG.IND,-0.0,0.0,0.0
