eng_TAM,x,Wx,Ø
PAST..IND,0.79,2.33,6.15
PRES.PERF.IND,0.51,7.35,3.63
PRES..IND,0.58,8.46,2.85
PAST.PERF.IND,0.19,5.98,54.86
FUT..IND,0.86,4.31,2.63
PAST..SUBJ,1.38,1.07,9.33
PRES..MOD,1.89,0.72,12.75
PRES..,0.78,2.56,5.4
PRES.PROG.IND,0.5,8.0,3.5
PAST.PROG.IND,1.17,0.86,inf
..,4.0,inf,0.25
past.PERF_PROG.IND,0.0,inf,inf
FUT.PERF.IND,inf,0.0,inf
PRES.PERF_PROG.IND,0.0,inf,inf
