cltype_simp,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
x,0.39,0.26,0.22,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wx,0.64,0.15,0.11,0.06,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ø,0.34,0.3,0.32,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
