,Main,SubAdv,SubMod,SubArg
PAST..IND,6.05,-12.91,3.29,-5.51
PRES.PERF.IND,-9.49,10.74,-0.08,2.25
PRES..IND,50.9,-0.14,-66.77,-11.32
PAST.PERF.IND,-123.53,3.28,74.4,27.81
FUT..IND,4.27,-0.27,-5.28,-0.28
PAST..SUBJ,2.83,-0.29,-2.02,-0.76
PRES..MOD,1.29,0.0,-2.24,0.14
PRES..,-0.07,0.45,0.0,-0.2
PRES.PROG.IND,0.33,-0.64,-0.12,0.88
PAST.PROG.IND,-0.0,0.14,-0.84,1.12
..,0.0,-0.0,-0.22,0.78
past.PERF_PROG.IND,-0.82,0.0,1.55,0.0
FUT.PERF.IND,0.28,0.0,0.0,0.0
PRES.PERF_PROG.IND,-0.41,0.73,0.0,0.0
