clause_rela,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Main,0.05,-0.06,0.13,-0.14,0.01,0.01,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
SubAdv,-0.1,0.08,-0.0,0.03,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
SubMod,0.05,-0.0,-0.18,0.15,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
SubArg,-0.13,0.07,-0.14,0.21,-0.0,-0.01,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
