,Main,SubAdv,SubMod,SubArg
PAST..IND,1.23,0.67,1.21,0.58
PRES.PERF.IND,0.74,1.49,0.98,1.4
PRES..IND,2.26,0.98,0.23,0.29
PAST.PERF.IND,0.15,1.37,4.51,4.86
FUT..IND,3.37,0.75,0.0,0.4
PAST..SUBJ,2.66,0.75,0.25,0.0
PRES..MOD,1.86,0.98,0.18,1.03
PRES..,0.93,1.48,0.91,0.0
PRES.PROG.IND,1.65,0.26,0.62,3.43
PAST.PROG.IND,1.02,1.33,0.0,4.99
..,0.95,1.11,0.0,6.85
past.PERF_PROG.IND,0.0,0.0,inf,0.0
FUT.PERF.IND,inf,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.0,inf,0.0,0.0
