esv_is,niv_is,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
0,0,0.44,0.25,-0.78,0.08,0.01,0.01,0.01,0.0,-0.03,0.0,0.0,0.0,0.0,0.0
1,1,-0.44,-0.25,0.77,-0.08,-0.01,-0.01,-0.01,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0
1,0,-0.43,-0.25,0.75,-0.08,-0.01,-0.01,-0.01,-0.0,0.04,-0.0,-0.0,-0.0,-0.0,-0.0
0,1,-0.43,-0.25,0.77,-0.08,-0.01,-0.01,-0.01,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0
