clause_type,FUT,PRES,IMPV do not,MOD may,IMPV,MOD let,PAST,MOD can,MOD must,MOD is to,TO INF,PRES PART,MOD would,PRES do not,MOD shall,PRES PERF,MOD should,FUT question,PRES wh-question,PRES question,MOD could,MOD quest can,MOD might,MOD quest should,PAST did not,MOD quest shall,PRES PROG,FUT wh-question,MOD was to,MOD quest would,PAST PERF,FUT going-to,MOD lest,PAST PROG,HAB used to,MOD VB,PRES do-support,PRES PERF wh-question,PAST wh-question,PRES PERF question,MOD need not,MOD quest must,MOD that be,PAST question,MOD quest could,FUT PROG,FUT PERF,JJ,PAST do-support,VB
xYq0,0.26,0.24,0.1,0.02,0.06,0.01,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WxY0,0.32,0.14,0.11,0.02,0.08,0.02,0.04,0.04,0.05,0.02,0.02,0.02,0.01,0.04,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xYqX,0.33,0.28,0.01,0.05,0.01,0.02,0.05,0.04,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XYqt,0.42,0.25,0.01,0.05,0.02,0.02,0.03,0.04,0.02,0.03,0.01,0.01,0.02,0.01,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WXYq,0.49,0.2,0.01,0.03,0.03,0.02,0.04,0.03,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZYq0,0.3,0.25,0.0,0.03,0.03,0.14,0.1,0.01,0.01,0.01,0.02,0.02,0.02,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WYq0,0.33,0.11,0.0,0.13,0.03,0.14,0.04,0.04,0.01,0.0,0.09,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZYqX,0.23,0.2,0.0,0.2,0.06,0.22,0.03,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WxYX,0.38,0.24,0.03,0.04,0.02,0.02,0.03,0.04,0.03,0.03,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WYqX,0.33,0.12,0.0,0.25,0.06,0.14,0.02,0.01,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPen,0.0,0.75,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
