niv_TAM,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
FUT,-0.09,-0.0,0.0,0.04,0.06,-0.01,0.0,-0.02,0.01,0.0,-0.0
PRES,0.04,-0.06,0.04,0.02,-0.01,0.02,-0.05,-0.0,0.0,-0.01,0.0
IMPV do not,0.3,0.16,-0.08,-0.09,-0.08,-0.08,-0.08,-0.04,-0.01,-0.02,-0.0
MOD may,-0.18,-0.09,0.01,0.0,-0.02,-0.03,0.13,0.12,-0.0,0.06,-0.0
IMPV,0.11,0.11,-0.08,-0.06,-0.03,-0.02,-0.03,0.02,-0.02,0.01,0.0
MOD let,-0.27,-0.1,-0.06,-0.04,-0.06,0.19,0.17,0.15,-0.02,0.03,-0.0
PAST,-0.07,-0.0,0.02,-0.02,-0.01,0.11,-0.01,-0.01,-0.01,-0.01,0.0
MOD can,0.04,0.02,0.01,0.02,0.0,-0.06,0.01,-0.04,0.01,-0.01,-0.0
MOD must,0.11,0.09,-0.06,-0.02,0.03,-0.06,-0.05,-0.03,-0.0,-0.01,-0.0
MOD is to,0.1,0.01,0.03,0.02,-0.01,-0.06,-0.06,-0.03,0.01,-0.01,-0.0
TO INF,-0.04,0.0,-0.07,-0.04,-0.05,0.0,0.24,-0.03,-0.02,-0.0,0.0
PRES PART,0.05,0.04,-0.03,-0.04,-0.02,0.03,-0.0,-0.03,0.01,-0.01,-0.0
MOD would,0.04,-0.02,-0.05,0.02,-0.03,0.03,0.03,-0.01,0.0,-0.0,-0.0
PRES do not,0.03,0.25,-0.01,-0.03,-0.03,-0.08,-0.07,-0.04,-0.0,-0.01,-0.0
MOD shall,0.02,0.02,0.05,0.08,-0.02,-0.05,-0.06,-0.03,-0.0,-0.01,-0.0
PRES PERF,0.05,-0.08,0.1,-0.05,-0.06,0.03,0.0,0.01,0.01,-0.01,0.01
MOD should,0.11,-0.02,0.1,-0.04,-0.05,-0.06,-0.01,-0.02,0.01,-0.01,-0.0
FUT question,0.25,-0.05,0.03,-0.04,-0.08,-0.0,-0.05,-0.02,-0.03,-0.0,-0.0
PRES wh-question,0.22,0.02,-0.03,-0.09,-0.04,-0.0,-0.02,-0.04,-0.01,-0.0,-0.0
PRES question,0.14,0.04,0.08,-0.04,-0.06,-0.04,-0.05,-0.04,-0.01,-0.01,-0.0
MOD could,0.12,0.0,0.01,-0.04,-0.01,-0.05,-0.0,-0.04,0.03,-0.01,-0.0
MOD quest can,0.14,-0.11,0.17,-0.03,-0.06,0.0,-0.03,-0.04,-0.03,-0.01,-0.0
MOD might,0.09,-0.08,0.1,-0.06,-0.08,-0.02,-0.01,0.03,0.01,0.02,-0.0
MOD quest should,0.09,-0.08,0.24,-0.03,-0.05,-0.08,-0.07,-0.0,0.01,-0.01,-0.0
PAST did not,-0.14,0.42,-0.06,-0.09,-0.02,-0.08,-0.07,-0.04,0.11,-0.01,-0.0
MOD quest shall,0.39,-0.11,-0.06,-0.02,-0.08,0.03,-0.07,-0.04,-0.03,-0.01,-0.0
