clause_type,FUT,PRES,IMPV do not,MOD may,IMPV,MOD let,PAST,MOD can,MOD must,MOD is to,TO INF,PRES PART,MOD would,PRES do not,MOD shall,PRES PERF,MOD should,FUT question,PRES wh-question,PRES question,MOD could,MOD quest can,MOD might,MOD quest should,PAST did not,MOD quest shall,PRES PROG,FUT wh-question,MOD was to,MOD quest would,PAST PERF,FUT going-to,MOD lest,PAST PROG,HAB used to,MOD VB,PRES do-support,PRES PERF wh-question,PAST wh-question,PRES PERF question,MOD need not,MOD quest must,MOD that be,PAST question,MOD quest could,FUT PROG,FUT PERF,JJ,PAST do-support,VB
xYq0,-0.09,0.03,0.07,-0.04,0.02,-0.05,-0.01,0.01,0.01,0.01,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
WxY0,-0.0,-0.08,0.07,-0.03,0.04,-0.03,-0.0,0.0,0.02,0.0,0.0,0.0,-0.0,0.03,0.0,-0.01,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
xYqX,0.01,0.07,-0.04,0.01,-0.04,-0.03,0.01,0.0,-0.02,0.01,-0.02,-0.01,-0.01,-0.0,0.01,0.01,0.01,0.0,-0.0,0.0,0.0,0.01,0.0,0.01,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
XYqt,0.11,0.04,-0.05,0.0,-0.03,-0.02,-0.01,0.01,-0.01,0.0,-0.01,-0.01,0.0,-0.0,0.01,-0.01,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
WXYq,0.18,-0.01,-0.05,-0.01,-0.02,-0.03,-0.0,0.0,0.01,-0.0,-0.01,-0.0,-0.01,-0.01,-0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ZYq0,-0.02,0.04,-0.06,-0.02,-0.01,0.11,0.06,-0.03,-0.02,-0.02,0.0,0.01,0.01,-0.01,-0.01,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
WYq0,0.01,-0.11,-0.06,0.09,-0.02,0.11,-0.0,0.01,-0.02,-0.02,0.07,-0.0,0.01,-0.02,-0.01,0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
ZYqX,-0.1,-0.01,-0.06,0.16,0.02,0.18,-0.01,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.02,-0.01,0.0,-0.01,-0.0,-0.01,-0.01,-0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
WxYX,0.06,0.02,-0.03,-0.01,-0.03,-0.03,-0.01,0.01,-0.0,0.01,-0.01,0.0,0.0,-0.0,-0.0,0.01,0.0,-0.01,-0.0,-0.0,0.01,-0.0,0.0,0.0,0.01,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
WYqX,0.01,-0.09,-0.05,0.2,0.02,0.1,-0.02,-0.02,-0.03,-0.02,-0.0,-0.01,-0.0,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
